"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Seinäjoki";11497;11483;41.2
"Sievi";851;850;45.1
"Siikainen";472;470;40
"Siikajoki";1034;1034;47.5
"Siilinjärvi";3944;3939;60.6
"Simo";872;870;44
"Sipoo";3513;3504;41.6
"Siuntio";1016;1013;34.9
"Sodankylä";2094;2089;44.7
"Soini";594;589;46.5
"Somero";2686;2681;49.5
"Sonkajärvi";1213;1212;41
"Sotkamo";2502;2502;47.8
"Sottunga";34;34;11.8
"Sulkava";939;937;56.5
"Sund";240;232;27.6
"Suomussalmi";2554;2552;46.3
"Suonenjoki";2106;2104;60.5
"Sysmä";1490;1486;48.1
"Säkylä";1914;1911;38.3
"Vaala";973;973;46.9
"Sastamala";6569;6560;40.4
"Siikalatva";1507;1507;45.5
"Taipalsaari";1010;1009;59.9
"Taivalkoski";1064;1063;45.1
"Taivassalo";519;518;45.9
"Tammela";1507;1504;39.4
"Tampere";42576;42497;45.3
"Tervo";540;540;48.1
"Tervola";847;842;34.9
"Teuva";1592;1590;38
"Tohmajärvi";1280;1278;31.6
"Toholampi";795;795;37.2
"Toivakka";597;597;45.4
"Tornio";4524;4493;44
"Turku";37690;37556;47.5
"Pello";1248;1242;48.9
"Tuusniemi";836;833;51.6
"Tuusula";6190;6176;52
"Tyrnävä";793;792;37.2
"Ulvila";3103;3097;41.2
"Urjala";1476;1474;40.2
"Utajärvi";745;745;48.1
"Utsjoki";303;302;45.7
"Uurainen";651;648;42.9
"Uusikaarlepyy";1782;1772;36.7
"Uusikaupunki";4105;4096;51.9
"Vaasa";12607;12576;38.1
"Valkeakoski";5314;5302;43
"Varkaus";5792;5786;50.8
"Vehmaa";633;631;41.7
"Vesanto";789;788;49.5
"Vesilahti";743;739;42.8
"Veteli";855;853;39.2
"Vieremä";888;886;45.3
"Vihti";4995;4986;48.5
"Viitasaari";2033;2026;51.3
"Vimpeli";771;771;49.3
"Virolahti";934;933;58.6
"Virrat";2296;2294;45.1
"Vårdö";129;128;39.8
"Vöyri";1594;1586;25
"Ylitornio";1410;1403;55.5
"Ylivieska";2749;2746;46.8
"Ylöjärvi";5387;5382;50.7
"Ypäjä";600;599;46.2
"Ähtäri";1730;1727;52.6
"Äänekoski";4698;4693;41.1
"Evijärvi";643;642;44.9
"Brändö";132;130;43.8
"Vantaa";31682;31597;48.8
"Hanko";2475;2470;41.1
"Askola";872;867;42.2
"Eurajoki";2172;2170;36.7
"Hammarland";311;304;36.5
"Geta";110;110;29.1
"Hartola";988;986;50.6
"Helsinki";103292;102795;46
"Hirvensalmi";735;733;51.2
"Enonkoski";517;517;50.5
"Enontekiö";432;430;28.8
"Akaa";3582;3575;40.8
"Eura";3101;3095;47.4
"Hailuoto";347;347;45.5
"Eckerö";224;221;27.1
"Heinävesi";1178;1172;52.1
"Harjavalta";2073;2072;39.5
"Aura";701;700;47.4
"Hausjärvi";1556;1553;39.1
"Haapavesi";1446;1444;39.6
"Hollola";5187;5178;51.8
"Alajärvi";2475;2473;45.7
"Alavieska";577;576;47.7
"Finström";508;498;29.3
"Haapajärvi";1541;1533;46.2
"Hankasalmi";1437;1433;49.4
"Hattula";1937;1935;9
"Espoo";38238;38081;57.5
"Alavus";2968;2965;45.7
"Halsua";354;353;46.7
"Forssa";4919;4909;45
"Föglö";163;160;36.2
"Hamina";5585;5569;57.7
"Asikkala";2465;2458;52.5
