"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2768;2766;41.2
"Humppila";569;569;37.6
"Hyrynsalmi";828;827;47
"Hyvinkää";9826;9811;46.6
"Hämeenkyrö";2325;2324;39.2
"Hämeenlinna";16750;16710;53.7
"Heinola";6082;6064;50.8
"Ii";1935;1929;48.6
"Iisalmi";5252;5245;50.7
"Iitti";1953;1950;48.3
"Ikaalinen";2092;2089;42.8
"Ilmajoki";2464;2460;37.8
"Ilomantsi";1843;1842;49.9
"Inari";1645;1642;45.8
"Inkoo";1260;1254;36.8
"Isojoki";636;636;36.5
"Isokyrö";1199;1196;38.2
"Imatra";7756;7743;57.8
"Janakkala";3758;3754;52.2
"Joensuu";15899;15878;52.9
"Jokioinen";1241;1241;42.5
"Jomala";711;708;30.8
"Joroinen";1357;1355;53.7
"Joutsa";1638;1635;49.6
"Juuka";1582;1582;51.1
"Juupajoki";519;519;30.1
"Juva";2035;2032;61.5
"Jyväskylä";24614;24572;50.4
"Jämijärvi";516;516;47.7
"Jämsä";6082;6073;42
"Järvenpää";7533;7522;48.1
"Kaarina";6752;6735;50.2
"Kaavi";962;962;51.9
"Kajaani";7903;7891;52.5
"Kalajoki";2972;2965;40.2
"Kangasala";6119;6105;52.3
"Kangasniemi";1906;1905;41.7
"Kankaanpää";3290;3286;42.8
"Kannonkoski";454;452;44.2
"Kannus";1197;1194;47.2
"Karijoki";420;417;33.1
"Karkkila";2186;2183;48.1
"Karstula";1268;1265;44.8
"Karvia";762;762;36.2
"Kaskinen";472;471;35.7
"Kauhajoki";3389;3381;37.4
"Kauhava";4373;4368;38.3
"Kauniainen";2178;2161;56.2
"Kaustinen";931;931;37.3
"Keitele";739;738;57.2
"Kemi";5271;5255;43.2
"Keminmaa";1841;1837;47.3
"Kempele";2705;2704;49.2
"Kerava";6712;6703;58.4
"Keuruu";3098;3096;46.1
"Kihniö";578;578;37.9
"Kinnula";482;479;31.7
"Kirkkonummi";5927;5911;48.3
"Kitee";3378;3375;50
"Kittilä";1290;1285;52.1
"Kiuruvesi";2303;2301;50.2
"Kivijärvi";388;387;40.8
"Kokemäki";2070;2068;39.2
"Kokkola";10014;10001;42
"Kolari";972;964;43.9
"Konnevesi";868;867;42.2
"Kontiolahti";2252;2250;54.7
"Korsnäs";576;573;27.1
"Koski Tl";745;745;50.2
"Kotka";13589;13564;51.4
"Kouvola";21797;21759;50.8
"Kristiinankaupunki";2179;2168;33.9
"Kruunupyy";1585;1580;27.5
"Kuhmo";2789;2789;46
"Kuhmoinen";942;940;46.4
"Kumlinge";101;100;41
"Kuopio";23948;23901;56.5
"Kuortane";1089;1087;50.7
"Kurikka";5781;5773;35.3
"Kustavi";362;360;24.2
"Kuusamo";3838;3832;45.5
"Outokumpu";1984;1981;55.3
"Kyyjärvi";420;419;41.8
"Kärkölä";1093;1092;49.3
"Kärsämäki";675;675;44.9
"Kökar";79;78;19.2
"Kemijärvi";2690;2681;42
"Kemiönsaari";2161;2148;24.8
"Lahti";27958;27887;54.4
"Laihia";1720;1719;37.4
"Laitila";1991;1990;41.3
"Lapinlahti";2478;2476;48.3
"Lappajärvi";988;985;43.8
"Lappeenranta";16530;16497;57.1
"Lapinjärvi";734;731;43.6
"Lapua";3301;3299;41.8
"Laukaa";3534;3529;44
"Lemi";718;716;52.4
"Lemland";341;332;36.1
"Lempäälä";3714;3708;49.6
"Leppävirta";2734;2732;51.2
"Lestijärvi";226;226;57.1
"Lieksa";3823;3816;50.8
"Lieto";3682;3678;54
"Liminka";987;986;47.4
"Liperi";2411;2411;46.7
"Loimaa";4625;4623;41.3
"Loppi";1847;1843;42.6
"Loviisa";4052;4047;47.2
"Luhanka";301;301;44.2
"Lumijoki";346;345;39.7
"Lumparland";100;97;43.3
"Luoto";728;726;22.9
"Luumäki";1482;1482;53.8
"Lohja";10479;10455;33.3
"Parainen";3941;3922;40.4
"Maalahti";1484;1475;21.4
"Maarianhamina";2768;2733;35.4
"Marttila";510;510;52
"Masku";1580;1578;47.8
"Merijärvi";249;249;34.9
"Merikarvia";1018;1014;36.3
"Miehikkälä";675;675;57.8
"Mikkeli";13414;13398;56.2
"Muhos";1496;1494;43.4
"Multia";515;513;47
"Muonio";577;574;41.3
"Mustasaari";3983;3974;27.1
"Muurame";1720;1716;53
"Mynämäki";1875;1874;50.4
"Myrskylä";501;500;44.6
"Mäntsälä";3651;3645;54.2
"Mäntyharju";2005;2002;56.6
"Mänttä-Vilppula";3257;3249;40.8
"Naantali";4713;4700;44.7
"Nakkila";1440;1438;38
"Nivala";2236;2234;45.7
"Nokia";6558;6546;45.3
"Nousiainen";837;837;47.3
"Nurmes";3132;3128;50.4
"Nurmijärvi";6717;6706;52.3
"Närpiö";2652;2642;31.6
"Orimattila";3801;3798;49.2
"Oripää";340;340;39.4
"Orivesi";2576;2574;41.4
"Oulainen";1847;1845;45.4
"Oulu";30798;30730;48.4
"Padasjoki";1112;1111;45.3
"Paimio";2244;2238;51.4
"Paltamo";1016;1016;57.3
"Parikkala";1805;1801;56.3
"Parkano";1979;1977;44.8
"Pelkosenniemi";305;304;44.4
"Perho";618;618;44.2
"Pertunmaa";603;602;49.7
"Petäjävesi";892;892;47
"Pieksämäki";5320;5311;49.7
"Pielavesi";1522;1521;51
"Pietarsaari";4830;4817;34.3
"Pedersören kunta";1870;1868;31.2
"Pihtipudas";1177;1173;43.5
"Pirkkala";3277;3276;42
"Polvijärvi";1288;1287;46.3
"Pomarkku";627;626;37.4
"Pori";20865;20837;38.7
"Pornainen";733;732;52.7
"Posio";1161;1157;38.7
"Pudasjärvi";2327;2316;43.6
"Pukkila";399;397;43.6
"Punkalaidun";921;920;42.6
"Puolanka";935;933;37.1
"Puumala";854;851;59.5
"Pyhtää";1265;1264;53.2
"Pyhäjoki";855;855;48.4
"Pyhäjärvi";1678;1674;44.4
"Pyhäntä";325;325;38.8
"Pyhäranta";525;524;42.2
"Pälkäne";1794;1792;49.1
"Pöytyä";1979;1973;44.2
"Porvoo";10139;10104;40.5
"Raahe";5629;5617;39.5
"Raisio";5205;5193;49.6
"Rantasalmi";1123;1122;52.9
"Ranua";1021;1018;44.1
"Rauma";9577;9560;45.6
"Rautalampi";1046;1045;54.9
"Rautavaara";604;603;52.1
"Rautjärvi";1168;1164;60.9
"Reisjärvi";692;691;50.4
"Riihimäki";6053;6042;46.3
"Ristijärvi";474;474;51.7
"Rovaniemi";11327;11303;51.3
"Ruokolahti";1636;1631;61.5
"Ruovesi";1506;1505;49
"Rusko";1110;1109;50.2
"Rääkkylä";804;802;44.5
"Raasepori";7191;7158;33.9
"Saarijärvi";2811;2808;46.5
"Salla";1275;1272;41.4
"Salo";13436;13402;51.3
"Saltvik";415;414;27.5
"Sauvo";716;714;54.3
"Savitaipale";1288;1285;54.9
"Savonlinna";10069;10052;53.7
"Savukoski";315;315;49.2
"Seinäjoki";11901;11885;38.5
"Sievi";881;880;45.1
"Siikainen";486;484;41.1
"Siikajoki";1085;1085;43.9
"Siilinjärvi";4103;4099;63.7
"Simo";904;904;44.4
"Sipoo";3616;3608;41.8
"Siuntio";1051;1047;32.1
"Sodankylä";2144;2141;52.9
"Soini";605;601;48.1
"Somero";2716;2711;49.7
"Sonkajärvi";1226;1225;41.5
"Sotkamo";2570;2570;49.9
"Sottunga";34;34;26.5
"Sulkava";970;969;56.2
"Sund";244;239;30.1
"Suomussalmi";2630;2627;47.3
"Suonenjoki";2138;2137;60
"Sysmä";1509;1506;58.5
"Säkylä";1951;1948;47.7
"Vaala";976;976;47.4
"Sastamala";6780;6773;39.1
"Siikalatva";1525;1525;45.6
"Taipalsaari";1026;1025;58.4
"Taivalkoski";1087;1087;42.2
"Taivassalo";521;520;41.7
"Tammela";1534;1531;38.7
"Tampere";43502;43426;45.1
"Tervo";545;545;49.9
"Tervola";836;833;47.3
"Teuva";1601;1599;35.8
"Tohmajärvi";1318;1317;40.5
"Toholampi";805;804;43.8
"Toivakka";619;619;41.4
"Tornio";4678;4649;40.6
"Turku";38400;38269;46.5
"Pello";1283;1279;39.2
"Tuusniemi";852;849;55.6
"Tuusula";6423;6411;52.8
"Tyrnävä";807;806;45.9
"Ulvila";3165;3159;40.3
"Urjala";1495;1493;39.8
"Utajärvi";766;766;45.3
"Utsjoki";320;319;47
"Uurainen";683;681;44.6
"Uusikaarlepyy";1813;1803;39.7
"Uusikaupunki";4204;4198;46.9
"Vaasa";12916;12885;37.6
"Valkeakoski";5448;5439;45.2
"Varkaus";5975;5971;60.5
"Vehmaa";631;628;40.3
"Vesanto";801;800;49.4
"Vesilahti";762;758;49.1
"Veteli";883;881;44.7
"Vieremä";903;902;49.4
"Vihti";5167;5160;47.4
"Viitasaari";2086;2080;47.2
"Vimpeli";785;785;48.9
"Virolahti";951;948;54
"Virrat";2327;2325;41.7
"Vårdö";132;132;25.8
"Vöyri";1625;1618;26.9
"Ylitornio";1412;1405;48
"Ylivieska";2855;2851;45.1
"Ylöjärvi";5552;5548;46.3
"Ypäjä";617;617;41.5
"Ähtäri";1727;1724;49.7
"Äänekoski";4842;4838;41.6
"Evijärvi";645;645;45.3
"Brändö";135;135;44.4
"Vantaa";32823;32751;52.6
"Hanko";2528;2521;30.8
"Askola";905;900;52.3
"Eurajoki";2256;2254;34.9
"Hammarland";330;323;23.8
"Geta";110;110;28.2
"Hartola";1011;1009;52.8
"Helsinki";105530;105064;44.6
"Hirvensalmi";738;737;52.9
"Enonkoski";531;531;55.2
"Enontekiö";458;456;44.3
"Akaa";3695;3689;41.5
"Eura";3137;3132;45.3
"Hailuoto";357;357;36.7
"Eckerö";227;226;29.2
"Heinävesi";1213;1210;54.2
"Harjavalta";2099;2098;37.8
"Aura";728;727;46.4
"Hausjärvi";1623;1620;41
"Haapavesi";1475;1473;40.9
"Hollola";5339;5327;54.3
"Alajärvi";2562;2560;40.7
"Alavieska";581;579;44.9
"Finström";516;506;30
"Haapajärvi";1577;1571;49.5
"Hankasalmi";1448;1444;50.6
"Hattula";1994;1992;48.6
"Espoo";39552;39396;57.1
"Alavus";3038;3035;47.6
"Halsua";370;369;49.9
"Forssa";4993;4984;41.1
"Föglö";160;157;35.7
"Hamina";5730;5714;58.3
"Asikkala";2533;2528;53.7
