,region,year,sex,length of education per person
1072,Pirkanmaa,2017,female,387.3
1073,Pirkanmaa,2017,male,369.3
1074,Pirkanmaa,2018,combined,386.4
1075,Pirkanmaa,2018,female,396.0
1076,Pirkanmaa,2018,male,376.4
1077,Pirkanmaa,2019,combined,391.2
1078,Pirkanmaa,2019,female,401.7
1079,Pirkanmaa,2019,male,380.3
1080,Pirkanmaa,2020,combined,396.6
1081,Pirkanmaa,2020,female,408.0
1082,Pirkanmaa,2020,male,384.6
1083,Pirkanmaa,2021,combined,402.0
1084,Pirkanmaa,2021,female,414.8
1085,Pirkanmaa,2021,male,388.7
1086,Pirkanmaa,2022,combined,406.1
1087,Pirkanmaa,2022,female,420.2
1088,Pirkanmaa,2022,male,391.4
1089,Päijät-Häme,1990,combined,204.6
1090,Päijät-Häme,1990,female,194.7
1091,Päijät-Häme,1990,male,215.7
1092,Päijät-Häme,1991,combined,208.6
1093,Päijät-Häme,1991,female,199.2
1094,Päijät-Häme,1991,male,219.1
1095,Päijät-Häme,1992,combined,213.1
1096,Päijät-Häme,1992,female,204.5
1097,Päijät-Häme,1992,male,222.8
1098,Päijät-Häme,1993,combined,217.4
1099,Päijät-Häme,1993,female,209.4
1100,Päijät-Häme,1993,male,226.3
1101,Päijät-Häme,1994,combined,221.5
1102,Päijät-Häme,1994,female,214.2
1103,Päijät-Häme,1994,male,229.7
1104,Päijät-Häme,1995,combined,226.1
1105,Päijät-Häme,1995,female,219.5
1106,Päijät-Häme,1995,male,233.5
1107,Päijät-Häme,1996,combined,230.3
1108,Päijät-Häme,1996,female,223.9
1109,Päijät-Häme,1996,male,237.5
1110,Päijät-Häme,1997,combined,234.8
1111,Päijät-Häme,1997,female,229.7
1112,Päijät-Häme,1997,male,240.5
1113,Päijät-Häme,1998,combined,239.3
1114,Päijät-Häme,1998,female,235.2
1115,Päijät-Häme,1998,male,243.9
1116,Päijät-Häme,1999,combined,243.6
1117,Päijät-Häme,1999,female,240.4
1118,Päijät-Häme,1999,male,247.1
1119,Päijät-Häme,2000,combined,247.2
1120,Päijät-Häme,2000,female,244.9
1121,Päijät-Häme,2000,male,249.9
1122,Päijät-Häme,2001,combined,251.3
1123,Päijät-Häme,2001,female,249.8
1124,Päijät-Häme,2001,male,253.0
1125,Päijät-Häme,2002,combined,255.8
1126,Päijät-Häme,2002,female,254.5
1127,Päijät-Häme,2002,male,257.2
1128,Päijät-Häme,2003,combined,260.5
1129,Päijät-Häme,2003,female,260.3
1130,Päijät-Häme,2003,male,260.6
1131,Päijät-Häme,2004,combined,265.3
1132,Päijät-Häme,2004,female,266.3
1133,Päijät-Häme,2004,male,264.3
1134,Päijät-Häme,2005,combined,269.9
1135,Päijät-Häme,2005,female,271.6
1136,Päijät-Häme,2005,male,268.1
1137,Päijät-Häme,2006,combined,275.3
1138,Päijät-Häme,2006,female,277.8
1139,Päijät-Häme,2006,male,272.5
1140,Päijät-Häme,2007,combined,280.6
1141,Päijät-Häme,2007,female,283.9
1142,Päijät-Häme,2007,male,276.9
1143,Päijät-Häme,2008,combined,285.8
1144,Päijät-Häme,2008,female,290.3
1145,Päijät-Häme,2008,male,280.8
1146,Päijät-Häme,2009,combined,290.3
1147,Päijät-Häme,2009,female,295.8
1148,Päijät-Häme,2009,male,284.2
1149,Päijät-Häme,2010,combined,295.1
1150,Päijät-Häme,2010,female,301.4
1151,Päijät-Häme,2010,male,288.3
1152,Päijät-Häme,2011,combined,299.9
1153,Päijät-Häme,2011,female,307.4
1154,Päijät-Häme,2011,male,291.8
1155,Päijät-Häme,2012,combined,304.5
1156,Päijät-Häme,2012,female,312.8
1157,Päijät-Häme,2012,male,295.4
1158,Päijät-Häme,2013,combined,309.9
1159,Päijät-Häme,2013,female,319.0
1160,Päijät-Häme,2013,male,299.9
1161,Päijät-Häme,2014,combined,314.5
1162,Päijät-Häme,2014,female,324.3
1163,Päijät-Häme,2014,male,303.9
1164,Päijät-Häme,2015,combined,317.0
1165,Päijät-Häme,2015,female,327.9
1166,Päijät-Häme,2015,male,305.2
1167,Päijät-Häme,2016,combined,320.6
1168,Päijät-Häme,2016,female,332.6
1169,Päijät-Häme,2016,male,307.7
1170,Päijät-Häme,2017,combined,325.1
1171,Päijät-Häme,2017,female,337.7
1172,Päijät-Häme,2017,male,311.5
1173,Päijät-Häme,2018,combined,331.3
1174,Päijät-Häme,2018,female,345.0
1175,Päijät-Häme,2018,male,316.5
1176,Päijät-Häme,2019,combined,334.9
1177,Päijät-Häme,2019,female,349.6
1178,Päijät-Häme,2019,male,319.1
1179,Päijät-Häme,2020,combined,338.8
1180,Päijät-Häme,2020,female,354.3
1181,Päijät-Häme,2020,male,322.1
1182,Päijät-Häme,2021,combined,343.4
1183,Päijät-Häme,2021,female,359.9
1184,Päijät-Häme,2021,male,325.7
1185,Päijät-Häme,2022,combined,347.0
1186,Päijät-Häme,2022,female,364.6
1187,Päijät-Häme,2022,male,328.2
1188,Satakunta,1990,combined,199.2
1189,Satakunta,1990,female,189.1
1190,Satakunta,1990,male,210.3
1191,Satakunta,1991,combined,203.5
1192,Satakunta,1991,female,194.0
1193,Satakunta,1991,male,213.9
1194,Satakunta,1992,combined,208.3
1195,Satakunta,1992,female,199.3
1196,Satakunta,1992,male,218.0
1197,Satakunta,1993,combined,213.3
1198,Satakunta,1993,female,205.2
1199,Satakunta,1993,male,222.1
1200,Satakunta,1994,combined,218.2
1201,Satakunta,1994,female,210.8
1202,Satakunta,1994,male,226.3
1203,Satakunta,1995,combined,222.7
1204,Satakunta,1995,female,215.8
1205,Satakunta,1995,male,230.2
1206,Satakunta,1996,combined,227.3
1207,Satakunta,1996,female,221.3
1208,Satakunta,1996,male,233.8
1209,Satakunta,1997,combined,231.7
1210,Satakunta,1997,female,226.6
1211,Satakunta,1997,male,237.2
1212,Satakunta,1998,combined,235.9
1213,Satakunta,1998,female,231.3
1214,Satakunta,1998,male,240.8
1215,Satakunta,1999,combined,239.8
1216,Satakunta,1999,female,236.2
1217,Satakunta,1999,male,243.8
1218,Satakunta,2000,combined,243.8
1219,Satakunta,2000,female,241.1
1220,Satakunta,2000,male,246.7
1221,Satakunta,2001,combined,247.8
1222,Satakunta,2001,female,246.2
1223,Satakunta,2001,male,249.5
1224,Satakunta,2002,combined,252.0
1225,Satakunta,2002,female,251.0
1226,Satakunta,2002,male,252.9
1227,Satakunta,2003,combined,256.7
1228,Satakunta,2003,female,257.0
1229,Satakunta,2003,male,256.4
1230,Satakunta,2004,combined,261.6
1231,Satakunta,2004,female,263.2
1232,Satakunta,2004,male,260.0
1233,Satakunta,2005,combined,266.1
1234,Satakunta,2005,female,268.6
1235,Satakunta,2005,male,263.4
1236,Satakunta,2006,combined,270.8
1237,Satakunta,2006,female,274.7
1238,Satakunta,2006,male,266.7
1239,Satakunta,2007,combined,275.5
1240,Satakunta,2007,female,280.6
1241,Satakunta,2007,male,270.0
1242,Satakunta,2008,combined,280.1
1243,Satakunta,2008,female,286.2
1244,Satakunta,2008,male,273.6
1245,Satakunta,2009,combined,284.8
1246,Satakunta,2009,female,291.8
1247,Satakunta,2009,male,277.4
1248,Satakunta,2010,combined,289.6
1249,Satakunta,2010,female,298.0
1250,Satakunta,2010,male,280.8
1251,Satakunta,2011,combined,294.2
1252,Satakunta,2011,female,303.8
1253,Satakunta,2011,male,284.1
1254,Satakunta,2012,combined,298.9
1255,Satakunta,2012,female,309.6
1256,Satakunta,2012,male,287.5
1257,Satakunta,2013,combined,304.5
1258,Satakunta,2013,female,316.1
1259,Satakunta,2013,male,292.2
1260,Satakunta,2014,combined,309.0
1261,Satakunta,2014,female,321.5
1262,Satakunta,2014,male,295.9
1263,Satakunta,2015,combined,311.8
1264,Satakunta,2015,female,325.6
1265,Satakunta,2015,male,297.3
1266,Satakunta,2016,combined,315.2
1267,Satakunta,2016,female,330.6
1268,Satakunta,2016,male,299.1
1269,Satakunta,2017,combined,319.4
1270,Satakunta,2017,female,336.2
1271,Satakunta,2017,male,302.0
1272,Satakunta,2018,combined,325.9
1273,Satakunta,2018,female,343.2
1274,Satakunta,2018,male,308.0
1275,Satakunta,2019,combined,329.6
1276,Satakunta,2019,female,347.7
1277,Satakunta,2019,male,310.8
1278,Satakunta,2020,combined,333.2
1279,Satakunta,2020,female,352.8
1280,Satakunta,2020,male,312.9
1281,Satakunta,2021,combined,337.3
1282,Satakunta,2021,female,358.4
1283,Satakunta,2021,male,315.5
1284,Satakunta,2022,combined,341.0
1285,Satakunta,2022,female,363.3
1286,Satakunta,2022,male,318.0
1287,South Karelia,1990,combined,195.4
1288,South Karelia,1990,female,185.9
1289,South Karelia,1990,male,205.7
1290,South Karelia,1991,combined,200.0
1291,South Karelia,1991,female,191.1
1292,South Karelia,1991,male,209.5
1293,South Karelia,1992,combined,204.8
1294,South Karelia,1992,female,196.4
1295,South Karelia,1992,male,213.8
1296,South Karelia,1993,combined,210.4
1297,South Karelia,1993,female,202.2
1298,South Karelia,1993,male,219.1
1299,South Karelia,1994,combined,214.7
1300,South Karelia,1994,female,207.2
1301,South Karelia,1994,male,222.7
1302,South Karelia,1995,combined,219.9
1303,South Karelia,1995,female,213.2
1304,South Karelia,1995,male,227.0
1305,South Karelia,1996,combined,224.3
1306,South Karelia,1996,female,217.9
1307,South Karelia,1996,male,231.1
1308,South Karelia,1997,combined,229.5
1309,South Karelia,1997,female,223.8
1310,South Karelia,1997,male,235.4
1311,South Karelia,1998,combined,233.8
1312,South Karelia,1998,female,228.9
1313,South Karelia,1998,male,238.9
1314,South Karelia,1999,combined,238.4
1315,South Karelia,1999,female,234.1
1316,South Karelia,1999,male,242.9
1317,South Karelia,2000,combined,243.0
1318,South Karelia,2000,female,239.4
1319,South Karelia,2000,male,246.7
1320,South Karelia,2001,combined,248.3
1321,South Karelia,2001,female,245.6
1322,South Karelia,2001,male,251.1
1323,South Karelia,2002,combined,253.3
1324,South Karelia,2002,female,251.0
1325,South Karelia,2002,male,255.7
1326,South Karelia,2003,combined,258.9
1327,South Karelia,2003,female,257.8
1328,South Karelia,2003,male,260.0
1329,South Karelia,2004,combined,264.4
1330,South Karelia,2004,female,264.2
1331,South Karelia,2004,male,264.7
1332,South Karelia,2005,combined,269.8
1333,South Karelia,2005,female,270.3
1334,South Karelia,2005,male,269.3
1335,South Karelia,2006,combined,275.1
1336,South Karelia,2006,female,276.8
1337,South Karelia,2006,male,273.3
1338,South Karelia,2007,combined,280.1
1339,South Karelia,2007,female,282.8
1340,South Karelia,2007,male,277.3
1341,South Karelia,2008,combined,285.6
1342,South Karelia,2008,female,290.1
1343,South Karelia,2008,male,281.0
1344,South Karelia,2009,combined,291.0
1345,South Karelia,2009,female,296.6
1346,South Karelia,2009,male,285.2
1347,South Karelia,2010,combined,296.4
1348,South Karelia,2010,female,302.9
1349,South Karelia,2010,male,289.6
1350,South Karelia,2011,combined,300.8
1351,South Karelia,2011,female,308.3
1352,South Karelia,2011,male,293.1
1353,South Karelia,2012,combined,305.6
1354,South Karelia,2012,female,313.9
1355,South Karelia,2012,male,297.1
1356,South Karelia,2013,combined,311.4
1357,South Karelia,2013,female,320.4
1358,South Karelia,2013,male,302.1
1359,South Karelia,2014,combined,316.6
1360,South Karelia,2014,female,326.1
1361,South Karelia,2014,male,306.9
1362,South Karelia,2015,combined,320.1
1363,South Karelia,2015,female,330.7
1364,South Karelia,2015,male,309.3
1365,South Karelia,2016,combined,324.6
1366,South Karelia,2016,female,335.7
1367,South Karelia,2016,male,313.1
1368,South Karelia,2017,combined,329.9
1369,South Karelia,2017,female,341.7
1370,South Karelia,2017,male,317.7
1371,South Karelia,2018,combined,338.6
1372,South Karelia,2018,female,351.2
1373,South Karelia,2018,male,325.7
1374,South Karelia,2019,combined,342.8
1375,South Karelia,2019,female,356.6
1376,South Karelia,2019,male,328.7
1377,South Karelia,2020,combined,348.1
1378,South Karelia,2020,female,362.7
1379,South Karelia,2020,male,333.3
1380,South Karelia,2021,combined,352.7
1381,South Karelia,2021,female,368.7
1382,South Karelia,2021,male,336.4
1383,South Karelia,2022,combined,355.2
1384,South Karelia,2022,female,373.2
1385,South Karelia,2022,male,337.0
1386,South Ostrobothnia,1990,combined,186.8
1387,South Ostrobothnia,1990,female,184.6
1388,South Ostrobothnia,1990,male,189.2
1389,South Ostrobothnia,1991,combined,191.4
1390,South Ostrobothnia,1991,female,189.6
1391,South Ostrobothnia,1991,male,193.3
1392,South Ostrobothnia,1992,combined,196.7
1393,South Ostrobothnia,1992,female,195.7
1394,South Ostrobothnia,1992,male,197.7
1395,South Ostrobothnia,1993,combined,202.2
1396,South Ostrobothnia,1993,female,202.2
1397,South Ostrobothnia,1993,male,202.2
1398,South Ostrobothnia,1994,combined,207.4
1399,South Ostrobothnia,1994,female,208.0
1400,South Ostrobothnia,1994,male,206.8
1401,South Ostrobothnia,1995,combined,211.9
1402,South Ostrobothnia,1995,female,213.2
1403,South Ostrobothnia,1995,male,210.6
1404,South Ostrobothnia,1996,combined,216.1
1405,South Ostrobothnia,1996,female,217.9
1406,South Ostrobothnia,1996,male,214.3
1407,South Ostrobothnia,1997,combined,220.9
1408,South Ostrobothnia,1997,female,223.5
1409,South Ostrobothnia,1997,male,218.2
1410,South Ostrobothnia,1998,combined,226.0
1411,South Ostrobothnia,1998,female,229.6
1412,South Ostrobothnia,1998,male,222.1
1413,South Ostrobothnia,1999,combined,230.8
1414,South Ostrobothnia,1999,female,235.5
1415,South Ostrobothnia,1999,male,225.9
1416,South Ostrobothnia,2000,combined,235.2
1417,South Ostrobothnia,2000,female,240.4
1418,South Ostrobothnia,2000,male,229.6
1419,South Ostrobothnia,2001,combined,239.3
1420,South Ostrobothnia,2001,female,245.8
1421,South Ostrobothnia,2001,male,232.5
1422,South Ostrobothnia,2002,combined,243.5
1423,South Ostrobothnia,2002,female,250.2
1424,South Ostrobothnia,2002,male,236.6
1425,South Ostrobothnia,2003,combined,248.9
1426,South Ostrobothnia,2003,female,256.6
1427,South Ostrobothnia,2003,male,241.0
1428,South Ostrobothnia,2004,combined,254.2
1429,South Ostrobothnia,2004,female,262.8
1430,South Ostrobothnia,2004,male,245.1
1431,South Ostrobothnia,2005,combined,259.7
1432,South Ostrobothnia,2005,female,269.2
1433,South Ostrobothnia,2005,male,249.9
1434,South Ostrobothnia,2006,combined,265.4
1435,South Ostrobothnia,2006,female,275.8
1436,South Ostrobothnia,2006,male,254.5
1437,South Ostrobothnia,2007,combined,270.5
1438,South Ostrobothnia,2007,female,282.0
1439,South Ostrobothnia,2007,male,258.6
1440,South Ostrobothnia,2008,combined,276.4
1441,South Ostrobothnia,2008,female,289.0
1442,South Ostrobothnia,2008,male,263.2
1443,South Ostrobothnia,2009,combined,281.6
1444,South Ostrobothnia,2009,female,295.1
1445,South Ostrobothnia,2009,male,267.7
1446,South Ostrobothnia,2010,combined,286.8
1447,South Ostrobothnia,2010,female,301.2
1448,South Ostrobothnia,2010,male,271.9
1449,South Ostrobothnia,2011,combined,292.0
1450,South Ostrobothnia,2011,female,307.6
1451,South Ostrobothnia,2011,male,275.9
1452,South Ostrobothnia,2012,combined,297.0
1453,South Ostrobothnia,2012,female,314.0
1454,South Ostrobothnia,2012,male,279.5
1455,South Ostrobothnia,2013,combined,302.4
1456,South Ostrobothnia,2013,female,320.4
1457,South Ostrobothnia,2013,male,283.8
1458,South Ostrobothnia,2014,combined,307.4
1459,South Ostrobothnia,2014,female,326.3
1460,South Ostrobothnia,2014,male,287.9
1461,South Ostrobothnia,2015,combined,310.9
1462,South Ostrobothnia,2015,female,330.9
1463,South Ostrobothnia,2015,male,290.3
1464,South Ostrobothnia,2016,combined,316.0
1465,South Ostrobothnia,2016,female,337.0
1466,South Ostrobothnia,2016,male,294.5
1467,South Ostrobothnia,2017,combined,321.4
1468,South Ostrobothnia,2017,female,343.3
1469,South Ostrobothnia,2017,male,298.8
1470,South Ostrobothnia,2018,combined,326.9
1471,South Ostrobothnia,2018,female,350.1
1472,South Ostrobothnia,2018,male,303.2
1473,South Ostrobothnia,2019,combined,331.4
1474,South Ostrobothnia,2019,female,355.6
1475,South Ostrobothnia,2019,male,306.6
1476,South Ostrobothnia,2020,combined,335.9
1477,South Ostrobothnia,2020,female,361.1
1478,South Ostrobothnia,2020,male,310.3
1479,South Ostrobothnia,2021,combined,340.2
1480,South Ostrobothnia,2021,female,366.4
1481,South Ostrobothnia,2021,male,313.4
1482,South Ostrobothnia,2022,combined,344.4
1483,South Ostrobothnia,2022,female,372.1
1484,South Ostrobothnia,2022,male,316.3
1485,South Savo,1990,combined,195.3
1486,South Savo,1990,female,194.5
1487,South Savo,1990,male,196.2
1488,South Savo,1991,combined,199.6
1489,South Savo,1991,female,199.6
1490,South Savo,1991,male,199.5
1491,South Savo,1992,combined,204.8
1492,South Savo,1992,female,205.3
1493,South Savo,1992,male,204.1
1494,South Savo,1993,combined,209.9
1495,South Savo,1993,female,211.4
1496,South Savo,1993,male,208.3
1497,South Savo,1994,combined,214.0
1498,South Savo,1994,female,216.3
1499,South Savo,1994,male,211.4
1500,South Savo,1995,combined,218.7
1501,South Savo,1995,female,221.7
1502,South Savo,1995,male,215.6
1503,South Savo,1996,combined,223.2
1504,South Savo,1996,female,226.7
1505,South Savo,1996,male,219.5
1506,South Savo,1997,combined,227.4
1507,South Savo,1997,female,231.5
1508,South Savo,1997,male,223.1
1509,South Savo,1998,combined,231.9
1510,South Savo,1998,female,236.8
1511,South Savo,1998,male,226.6
1512,South Savo,1999,combined,235.3
1513,South Savo,1999,female,241.0
1514,South Savo,1999,male,229.2
1515,South Savo,2000,combined,239.3
1516,South Savo,2000,female,246.1
1517,South Savo,2000,male,232.1
1518,South Savo,2001,combined,243.6
1519,South Savo,2001,female,251.2
1520,South Savo,2001,male,235.5
1521,South Savo,2002,combined,247.9
1522,South Savo,2002,female,256.1
1523,South Savo,2002,male,239.1
1524,South Savo,2003,combined,252.8
1525,South Savo,2003,female,261.8
1526,South Savo,2003,male,243.0
1527,South Savo,2004,combined,257.4
1528,South Savo,2004,female,267.2
1529,South Savo,2004,male,246.9
1530,South Savo,2005,combined,262.1
1531,South Savo,2005,female,272.7
1532,South Savo,2005,male,250.8
1533,South Savo,2006,combined,267.0
1534,South Savo,2006,female,278.6
1535,South Savo,2006,male,254.6
1536,South Savo,2007,combined,271.4
1537,South Savo,2007,female,283.8
1538,South Savo,2007,male,258.2
1539,South Savo,2008,combined,276.8
1540,South Savo,2008,female,290.1
1541,South Savo,2008,male,262.6
1542,South Savo,2009,combined,281.5
1543,South Savo,2009,female,296.0
1544,South Savo,2009,male,266.1
1545,South Savo,2010,combined,286.6
1546,South Savo,2010,female,301.4
1547,South Savo,2010,male,270.8
1548,South Savo,2011,combined,291.6
1549,South Savo,2011,female,307.4
1550,South Savo,2011,male,274.9
1551,South Savo,2012,combined,296.8
1552,South Savo,2012,female,313.7
1553,South Savo,2012,male,279.0
1554,South Savo,2013,combined,302.5
1555,South Savo,2013,female,320.1
1556,South Savo,2013,male,283.8
1557,South Savo,2014,combined,307.8
1558,South Savo,2014,female,326.4
1559,South Savo,2014,male,288.1
1560,South Savo,2015,combined,311.1
1561,South Savo,2015,female,330.4
1562,South Savo,2015,male,290.7
1563,South Savo,2016,combined,315.3
1564,South Savo,2016,female,335.4
1565,South Savo,2016,male,293.9
1566,South Savo,2017,combined,320.8
1567,South Savo,2017,female,341.8
1568,South Savo,2017,male,298.5
1569,South Savo,2018,combined,325.7
1570,South Savo,2018,female,348.2
1571,South Savo,2018,male,302.2
1572,South Savo,2019,combined,329.5
1573,South Savo,2019,female,352.7
1574,South Savo,2019,male,305.2
1575,South Savo,2020,combined,333.4
1576,South Savo,2020,female,357.9
1577,South Savo,2020,male,307.9
1578,South Savo,2021,combined,338.4
1579,South Savo,2021,female,364.1
1580,South Savo,2021,male,311.7
1581,South Savo,2022,combined,342.3
1582,South Savo,2022,female,369.0
1583,South Savo,2022,male,314.5
1584,Southwest Finland,1990,combined,220.0
1585,Southwest Finland,1990,female,206.0
1586,Southwest Finland,1990,male,235.6
1587,Southwest Finland,1991,combined,225.1
1588,Southwest Finland,1991,female,212.0
1589,Southwest Finland,1991,male,239.8
1590,Southwest Finland,1992,combined,230.5
1591,Southwest Finland,1992,female,218.0
1592,Southwest Finland,1992,male,244.5
1593,Southwest Finland,1993,combined,236.6
1594,Southwest Finland,1993,female,224.9
1595,Southwest Finland,1993,male,249.7
1596,Southwest Finland,1994,combined,242.2
1597,Southwest Finland,1994,female,231.2
1598,Southwest Finland,1994,male,254.5
1599,Southwest Finland,1995,combined,248.5
1600,Southwest Finland,1995,female,238.0
1601,Southwest Finland,1995,male,260.2
1602,Southwest Finland,1996,combined,253.9
1603,Southwest Finland,1996,female,244.3
1604,Southwest Finland,1996,male,264.5
1605,Southwest Finland,1997,combined,259.6
1606,Southwest Finland,1997,female,251.0
1607,Southwest Finland,1997,male,269.1
1608,Southwest Finland,1998,combined,264.6
1609,Southwest Finland,1998,female,256.9
1610,Southwest Finland,1998,male,273.1
1611,Southwest Finland,1999,combined,269.6
1612,Southwest Finland,1999,female,262.6
1613,Southwest Finland,1999,male,277.3
1614,Southwest Finland,2000,combined,274.4
1615,Southwest Finland,2000,female,268.6
1616,Southwest Finland,2000,male,280.8
1617,Southwest Finland,2001,combined,279.2
1618,Southwest Finland,2001,female,274.4
1619,Southwest Finland,2001,male,284.5
1620,Southwest Finland,2002,combined,284.2
1621,Southwest Finland,2002,female,280.1
1622,Southwest Finland,2002,male,288.8
1623,Southwest Finland,2003,combined,289.7
1624,Southwest Finland,2003,female,286.8
1625,Southwest Finland,2003,male,292.9
1626,Southwest Finland,2004,combined,295.1
1627,Southwest Finland,2004,female,293.3
1628,Southwest Finland,2004,male,297.0
1629,Southwest Finland,2005,combined,300.2
1630,Southwest Finland,2005,female,299.6
1631,Southwest Finland,2005,male,300.8
1632,Southwest Finland,2006,combined,305.9
1633,Southwest Finland,2006,female,306.7
1634,Southwest Finland,2006,male,305.0
1635,Southwest Finland,2007,combined,311.2
1636,Southwest Finland,2007,female,313.5
1637,Southwest Finland,2007,male,308.8
1638,Southwest Finland,2008,combined,318.2
1639,Southwest Finland,2008,female,322.4
1640,Southwest Finland,2008,male,313.8
1641,Southwest Finland,2009,combined,323.0
1642,Southwest Finland,2009,female,328.3
1643,Southwest Finland,2009,male,317.3
1644,Southwest Finland,2010,combined,327.8
1645,Southwest Finland,2010,female,334.1
1646,Southwest Finland,2010,male,321.0
1647,Southwest Finland,2011,combined,332.5
1648,Southwest Finland,2011,female,340.1
1649,Southwest Finland,2011,male,324.3
1650,Southwest Finland,2012,combined,337.2
1651,Southwest Finland,2012,female,346.2
1652,Southwest Finland,2012,male,327.5
1653,Southwest Finland,2013,combined,343.1
1654,Southwest Finland,2013,female,353.0
1655,Southwest Finland,2013,male,332.3
1656,Southwest Finland,2014,combined,347.8
1657,Southwest Finland,2014,female,358.6
1658,Southwest Finland,2014,male,336.2
1659,Southwest Finland,2015,combined,351.3
1660,Southwest Finland,2015,female,363.5
1661,Southwest Finland,2015,male,338.2
1662,Southwest Finland,2016,combined,355.9
1663,Southwest Finland,2016,female,369.6
1664,Southwest Finland,2016,male,341.2
1665,Southwest Finland,2017,combined,361.8
1666,Southwest Finland,2017,female,376.6
1667,Southwest Finland,2017,male,345.9
1668,Southwest Finland,2018,combined,370.0
1669,Southwest Finland,2018,female,386.0
1670,Southwest Finland,2018,male,352.9
1671,Southwest Finland,2019,combined,374.6
1672,Southwest Finland,2019,female,391.6
1673,Southwest Finland,2019,male,356.4
1674,Southwest Finland,2020,combined,379.0
1675,Southwest Finland,2020,female,397.5
1676,Southwest Finland,2020,male,359.4
1677,Southwest Finland,2021,combined,383.3
1678,Southwest Finland,2021,female,403.2
1679,Southwest Finland,2021,male,362.2
1680,Southwest Finland,2022,combined,386.8
1681,Southwest Finland,2022,female,408.2
1682,Southwest Finland,2022,male,364.2
1683,Uusimaa,1990,combined,274.4
1684,Uusimaa,1990,female,255.0
1685,Uusimaa,1990,male,296.8
1686,Uusimaa,1991,combined,278.8
1687,Uusimaa,1991,female,260.4
1688,Uusimaa,1991,male,300.0
1689,Uusimaa,1992,combined,283.5
1690,Uusimaa,1992,female,266.1
1691,Uusimaa,1992,male,303.5
1692,Uusimaa,1993,combined,288.9
1693,Uusimaa,1993,female,272.4
1694,Uusimaa,1993,male,307.8
1695,Uusimaa,1994,combined,294.3
1696,Uusimaa,1994,female,278.8
1697,Uusimaa,1994,male,312.1
1698,Uusimaa,1995,combined,300.5
1699,Uusimaa,1995,female,285.7
1700,Uusimaa,1995,male,317.4
1701,Uusimaa,1996,combined,306.7
1702,Uusimaa,1996,female,292.7
1703,Uusimaa,1996,male,322.7
1704,Uusimaa,1997,combined,313.1
1705,Uusimaa,1997,female,300.3
1706,Uusimaa,1997,male,327.7
1707,Uusimaa,1998,combined,319.3
1708,Uusimaa,1998,female,307.8
1709,Uusimaa,1998,male,332.3
1710,Uusimaa,1999,combined,325.4
1711,Uusimaa,1999,female,315.2
1712,Uusimaa,1999,male,336.8
1713,Uusimaa,2000,combined,331.1
1714,Uusimaa,2000,female,322.6
1715,Uusimaa,2000,male,340.6
1716,Uusimaa,2001,combined,336.5
1717,Uusimaa,2001,female,329.8
1718,Uusimaa,2001,male,344.0
1719,Uusimaa,2002,combined,340.8
1720,Uusimaa,2002,female,335.0
1721,Uusimaa,2002,male,347.3
1722,Uusimaa,2003,combined,345.9
1723,Uusimaa,2003,female,341.8
1724,Uusimaa,2003,male,350.5
1725,Uusimaa,2004,combined,351.0
1726,Uusimaa,2004,female,348.4
1727,Uusimaa,2004,male,353.8
1728,Uusimaa,2005,combined,355.4
1729,Uusimaa,2005,female,354.3
1730,Uusimaa,2005,male,356.5
1731,Uusimaa,2006,combined,360.7
1732,Uusimaa,2006,female,361.2
1733,Uusimaa,2006,male,360.0
1734,Uusimaa,2007,combined,365.2
1735,Uusimaa,2007,female,367.5
1736,Uusimaa,2007,male,362.8
1737,Uusimaa,2008,combined,372.0
1738,Uusimaa,2008,female,376.6
1739,Uusimaa,2008,male,367.0
1740,Uusimaa,2009,combined,376.4
1741,Uusimaa,2009,female,382.1
1742,Uusimaa,2009,male,370.1
1743,Uusimaa,2010,combined,381.5
1744,Uusimaa,2010,female,388.0
1745,Uusimaa,2010,male,374.4
1746,Uusimaa,2011,combined,385.7
1747,Uusimaa,2011,female,393.6
1748,Uusimaa,2011,male,377.2
1749,Uusimaa,2012,combined,389.9
1750,Uusimaa,2012,female,399.0
1751,Uusimaa,2012,male,379.9
1752,Uusimaa,2013,combined,395.7
1753,Uusimaa,2013,female,405.8
1754,Uusimaa,2013,male,384.7
1755,Uusimaa,2014,combined,399.5
1756,Uusimaa,2014,female,410.7
1757,Uusimaa,2014,male,387.2
1758,Uusimaa,2015,combined,401.8
1759,Uusimaa,2015,female,414.4
1760,Uusimaa,2015,male,388.1
1761,Uusimaa,2016,combined,406.0
1762,Uusimaa,2016,female,419.8
1763,Uusimaa,2016,male,391.0
1764,Uusimaa,2017,combined,411.9
1765,Uusimaa,2017,female,426.6
1766,Uusimaa,2017,male,395.9
1767,Uusimaa,2018,combined,423.3
1768,Uusimaa,2018,female,438.4
1769,Uusimaa,2018,male,407.0
1770,Uusimaa,2019,combined,427.1
1771,Uusimaa,2019,female,443.5
1772,Uusimaa,2019,male,409.5
1773,Uusimaa,2020,combined,431.2
1774,Uusimaa,2020,female,449.0
1775,Uusimaa,2020,male,412.2
1776,Uusimaa,2021,combined,433.8
1777,Uusimaa,2021,female,453.1
1778,Uusimaa,2021,male,413.2
1779,Uusimaa,2022,combined,434.2
1780,Uusimaa,2022,female,455.2
1781,Uusimaa,2022,male,411.8
1782,Åland,1990,combined,207.0
