,region,year,"male_Employed, as % of total population","male_Students, as % of total population","female_Employed, as % of total population","female_Students, as % of total population","combined_Employed, as % of total population","combined_Students, as % of total population",male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,cost
449,Southwest Finland,1994,41.5,8.2,36.8,8.7,39.1,8.5,254.5,231.2,242.2,50336,135778,24820,48332,135194,43493,98668,270972,68313,432603,704.9
450,Southwest Finland,1995,42.2,8.3,37.1,9.1,39.5,8.7,260.2,238.0,248.5,50317,136578,25403,48373,136068,43901,98690,272646,69304,435119,722.1
451,Southwest Finland,1996,42.2,8.4,37.6,9.0,39.8,8.7,264.5,244.3,253.9,50233,137339,25958,48191,136934,44198,98424,274273,70156,437491,766.8
452,Southwest Finland,1997,44.1,8.1,38.9,8.8,41.4,8.5,269.1,251.0,259.6,50293,138141,26333,48024,137842,44522,98317,275983,70855,439973,834.9
453,Southwest Finland,1998,45.7,7.4,40.2,7.9,42.9,7.7,273.1,256.9,264.6,50448,139307,26610,48082,139094,44760,98530,278401,71370,443050,860.6
454,Southwest Finland,1999,46.0,7.1,40.9,7.6,43.4,7.4,277.3,262.6,269.6,50432,140275,26904,48189,140059,45034,98621,280334,71938,445542,878.7
455,Southwest Finland,2000,47.2,7.2,41.6,7.8,44.3,7.5,280.8,268.6,274.4,50283,140887,27369,48024,140853,45167,98307,281740,72536,447103,900.9
456,Southwest Finland,2001,46.6,7.2,41.9,7.4,44.1,7.3,284.5,274.4,279.2,50124,141710,27869,47756,141906,45494,97880,283616,73363,449293,972.1
457,Southwest Finland,2002,46.2,7.6,41.9,7.9,44.0,7.8,288.8,280.1,284.2,49826,142228,28485,47330,142750,45689,97156,284978,74174,450969,1022.3
458,Southwest Finland,2003,45.4,7.7,42.0,7.8,43.6,7.8,292.9,286.8,289.7,49537,142401,29228,47054,143259,46148,96591,285660,75376,452444,1097.0
459,Southwest Finland,2004,45.9,7.6,42.3,7.7,44.0,7.6,297.0,293.3,295.1,49459,142442,30067,46793,143352,46676,96252,285794,76743,453745,1187.6
460,Southwest Finland,2005,46.5,8.0,42.4,8.2,44.4,8.1,300.8,299.6,300.2,49367,143042,30568,46706,143971,46898,96073,287013,77466,455584,1262.5
461,Southwest Finland,2006,47.2,7.9,43.1,8.2,45.1,8.1,305.0,306.7,305.9,49376,143218,31709,46846,144081,47949,96222,287299,79658,457789,1337.6
462,Southwest Finland,2007,47.8,7.7,43.8,8.0,45.8,7.8,308.8,313.5,311.2,49023,143900,32150,46801,144683,47951,95824,288583,80101,459235,1409.1
463,Southwest Finland,2008,47.2,7.6,44.1,7.7,45.6,7.7,313.8,322.4,318.2,49003,144305,33061,46763,145041,48426,95766,289346,81487,461177,1531.6
464,Southwest Finland,2009,43.9,7.9,42.9,7.8,43.4,7.9,317.3,328.3,323.0,48818,144544,34111,46623,145110,49207,95441,289654,83318,462914,1521.5
465,Southwest Finland,2010,43.8,8.0,43.1,7.8,43.4,7.9,321.0,334.1,327.8,48790,144433,35646,46579,144798,50517,95369,289231,86163,465183,1596.0
466,Southwest Finland,2011,44.5,7.8,43.2,7.6,43.9,7.7,324.3,340.1,332.5,48601,143767,37568,46354,144155,52260,94955,287922,89828,467217,1681.3
467,Southwest Finland,2012,43.3,7.9,42.7,7.7,43.0,7.8,327.5,346.2,337.2,48446,142947,39522,46131,143529,53939,94577,286476,93461,468936,1741.9
468,Southwest Finland,2013,42.4,8.0,41.8,7.6,42.1,7.8,332.3,353.0,343.1,48283,142464,41318,45841,142838,55552,94124,285302,96870,470880,1807.2
469,Southwest Finland,2014,41.6,7.9,41.3,7.6,41.4,7.8,336.2,358.6,347.8,48016,142139,42875,45681,142301,57010,93697,284440,99885,472726,1849.9
470,Southwest Finland,2015,41.2,7.9,40.9,7.4,41.0,7.7,338.2,363.5,351.3,47825,141756,44368,45458,141692,58437,93283,283448,102805,474323,1867.8
471,Southwest Finland,2016,41.9,7.7,40.8,7.3,41.3,7.5,341.2,369.6,355.9,47412,141743,45537,45155,141175,59566,92567,282918,105103,475543,1876.7
472,Southwest Finland,2017,43.5,7.5,41.6,7.3,42.5,7.4,345.9,376.6,361.8,47111,142251,46747,45066,140853,60868,92177,283104,107615,477677,1882.8
473,Southwest Finland,2018,44.2,7.4,42.5,7.1,43.3,7.3,352.9,386.0,370.0,46670,142290,47759,44571,140473,61890,91241,282763,109649,478582,1946.1
474,Southwest Finland,2019,43.9,7.5,42.5,7.4,43.2,7.4,356.4,391.6,374.6,46271,142062,48743,44055,140008,63072,90326,282070,111815,479341,1989.1
475,Southwest Finland,2020,41.4,7.7,41.4,7.7,41.4,7.7,359.4,397.5,379.0,46021,142396,49924,43750,139933,64195,89771,282329,114119,481403,2022.4
476,Uusimaa,1993,42.6,7.7,42.2,8.0,42.4,7.9,307.8,272.4,288.9,153908,413542,49631,146761,433821,95172,300669,847363,144803,1277609,814.1
477,Uusimaa,1994,43.3,8.1,42.0,8.4,42.6,8.3,312.1,278.8,294.3,155910,418288,51204,149005,438275,96395,304915,856563,147599,1293573,785.9
478,Uusimaa,1995,43.8,8.2,42.1,8.7,42.9,8.5,317.4,285.7,300.5,157614,423582,52824,150781,443613,97547,308395,867195,150371,1310680,807.9
479,Uusimaa,1996,44.7,8.0,42.6,8.3,43.6,8.2,322.7,292.7,306.7,159311,428886,54316,152410,448896,98462,311721,877782,152778,1327243,859.7
480,Uusimaa,1997,46.8,7.8,44.0,8.2,45.4,8.0,327.7,300.3,313.1,160739,435071,55748,154366,454968,99345,315105,890039,155093,1344989,868.1
481,Uusimaa,1998,49.3,6.9,46.4,7.1,47.8,7.0,332.3,307.8,319.3,162003,441889,56991,155548,461257,99965,317551,903146,156956,1362634,877.7
482,Uusimaa,1999,50.3,6.6,47.4,6.8,48.8,6.7,336.8,315.2,325.4,163093,448159,58337,157119,467442,100902,320212,915601,159239,1379712,914.0
483,Uusimaa,2000,51.4,6.6,48.6,6.7,50.0,6.6,340.6,322.6,331.1,164049,453767,59819,157969,473041,101928,322018,926808,161747,1394199,947.9
484,Uusimaa,2001,51.1,6.5,48.9,6.4,50.0,6.5,344.0,329.8,336.5,164262,459250,61406,158400,478598,102921,322662,937848,164327,1408525,1033.0
485,Uusimaa,2002,50.4,6.8,48.6,6.7,49.5,6.7,347.3,335.0,340.8,164810,462867,63111,158718,482298,104281,323528,945165,167392,1419938,1120.8
486,Uusimaa,2003,49.8,7.0,48.3,6.8,49.0,6.9,350.5,341.8,345.9,165179,465451,65339,159245,484566,105880,324424,950017,171219,1429869,1137.4
487,Uusimaa,2004,49.9,7.1,48.2,6.9,49.0,7.0,353.8,348.4,351.0,165745,467510,67670,159876,485770,108339,325621,953280,176009,1439400,1180.9
488,Uusimaa,2005,49.6,7.6,48.0,7.5,48.8,7.5,356.5,354.3,355.4,166352,471559,69692,160862,489378,110068,327214,960937,179760,1452083,1253.6
489,Uusimaa,2006,50.2,7.7,48.5,7.5,49.3,7.6,360.0,361.2,360.7,167537,474841,73496,161898,492601,114050,329435,967442,187546,1467453,1293.1
490,Uusimaa,2007,51.1,7.5,49.5,7.3,50.3,7.4,362.8,367.5,365.2,168231,481347,75270,162238,498285,115664,330469,979632,190934,1483719,1362.4
491,Uusimaa,2008,51.0,7.4,50.0,7.0,50.5,7.2,367.0,376.6,372.0,169199,487205,78449,163060,503105,118712,332259,990310,197161,1501511,1468.4
492,Uusimaa,2009,48.4,7.7,48.6,7.2,48.5,7.5,370.1,382.1,376.4,169725,491343,81872,163785,507105,122259,333510,998448,204131,1517712,1503.2
493,Uusimaa,2010,48.8,7.7,48.4,7.4,48.6,7.5,374.4,388.0,381.5,170486,493786,86698,164068,508742,127479,334554,1002528,214177,1532309,1475.9
494,Uusimaa,2011,49.1,7.5,48.5,7.2,48.8,7.4,377.2,393.6,385.7,170824,496478,92307,164193,510329,133666,335017,1006807,225973,1549058,1535.1
495,Uusimaa,2012,48.6,7.5,48.1,7.2,48.3,7.3,379.9,399.0,389.9,171397,500065,97658,164547,512298,139658,335944,1012363,237316,1566835,1582.6
496,Uusimaa,2013,47.5,7.5,47.1,7.2,47.3,7.4,384.7,405.8,395.7,172190,503520,102848,165186,514502,145578,337376,1018022,248426,1585473,1635.8
497,Uusimaa,2014,46.8,7.6,46.2,7.3,46.5,7.5,387.2,410.7,399.5,173099,506891,107495,166167,516635,150785,339266,1023526,258280,1603389,1639.0
498,Uusimaa,2015,46.4,7.6,45.7,7.4,46.0,7.5,388.1,414.4,401.8,174341,510365,111500,167229,518801,155496,341570,1029166,266996,1620261,1641.3
499,Uusimaa,2016,46.7,7.5,45.7,7.3,46.2,7.4,391.0,419.8,406.0,176139,515194,114945,167942,521485,159579,344081,1036679,274524,1638293,1532.1
500,Uusimaa,2017,47.6,7.3,46.2,7.1,46.9,7.2,395.9,426.6,411.9,177526,519853,118637,169180,523865,164148,346706,1043718,282785,1655624,1623.5
501,Uusimaa,2018,48.5,7.1,47.0,7.0,47.7,7.1,407.0,438.4,423.3,177892,524299,121930,169823,526400,168216,347715,1050699,290146,1671024,1621.3
502,Uusimaa,2019,48.7,7.3,47.0,7.3,47.8,7.3,409.5,443.5,427.1,178327,530600,125213,170390,530100,172629,348717,1060700,297842,1689725,1741.8
503,Uusimaa,2020,46.0,7.7,44.3,8.0,45.1,7.8,412.2,449.0,431.2,178719,534107,128223,170864,532135,176135,349583,1066242,304358,1702678,1807.3
504,Åland,1993,49.2,5.5,43.2,5.9,46.1,5.7,241.1,199.1,219.4,3016,7876,1632,2788,7625,2467,5804,15501,4099,25102,455.2
505,Åland,1994,48.1,5.8,42.7,5.9,45.3,5.8,244.9,204.3,224.0,2990,7871,1655,2825,7629,2489,5815,15500,4144,25158,127.0
506,Åland,1995,48.0,6.8,43.3,6.2,45.6,6.5,248.2,211.0,229.0,3008,7851,1653,2837,7657,2453,5845,15508,4106,25202,122.9
507,Åland,1996,48.6,6.8,43.8,6.0,46.1,6.4,250.4,217.2,233.3,3052,7837,1656,2848,7697,2449,5900,15534,4105,25257,139.7
508,Åland,1997,50.0,6.2,44.9,5.4,47.4,5.8,253.4,220.5,236.4,3051,7838,1694,2889,7724,2464,5940,15562,4158,25392,0.0
509,Åland,1998,51.7,4.2,46.7,4.1,49.2,4.1,255.7,225.7,240.2,3075,7973,1710,2910,7823,2467,5985,15796,4177,25625,0.0
510,Åland,1999,51.2,5.5,47.9,4.8,49.5,5.2,259.2,231.2,244.8,3062,8017,1720,2906,7829,2457,5968,15846,4177,25706,3.0
511,Åland,2000,51.8,5.5,48.6,4.7,50.2,5.1,260.4,234.9,247.3,3069,8037,1757,2902,7853,2467,5971,15890,4224,25776,-2.0
512,Åland,2001,51.9,5.6,49.0,4.6,50.5,5.1,265.3,242.0,253.3,3054,8100,1783,2921,7942,2497,5975,16042,4280,26008,0.1
513,Åland,2002,51.9,5.5,49.2,4.7,50.5,5.1,266.9,245.2,255.7,3085,8164,1824,2917,8037,2512,6002,16201,4336,26257,-0.8
514,Åland,2003,50.9,5.8,48.6,5.5,49.7,5.6,267.4,246.0,256.3,3076,8181,1857,2929,8097,2504,6005,16278,4361,26347,-2.6
515,Åland,2004,50.2,6.1,48.6,5.4,49.4,5.7,267.0,250.5,258.5,3114,8270,1884,2931,8115,2527,6045,16385,4411,26530,-2.3
516,Åland,2005,50.2,6.3,48.8,5.9,49.4,6.1,267.8,255.7,261.6,3106,8356,1946,2920,8201,2548,6026,16557,4494,26766,-1.2
517,Åland,2006,50.3,6.2,49.3,5.6,49.8,5.9,270.9,261.6,266.1,3131,8377,2017,2923,8289,2546,6054,16666,4563,26923,4.3
518,Åland,2007,50.6,6.1,49.3,5.8,50.0,6.0,272.6,265.6,269.0,3120,8456,2079,2902,8348,2598,6022,16804,4677,27153,5.6
519,Åland,2008,50.7,5.8,51.0,5.2,50.8,5.5,273.7,270.3,272.0,3129,8538,2169,2920,8453,2610,6049,16991,4779,27456,6.4
520,Åland,2009,48.8,5.8,49.9,5.5,49.4,5.6,274.0,275.1,274.6,3123,8610,2252,2903,8514,2681,6026,17124,4933,27734,7.9
521,Åland,2010,48.1,6.3,49.6,5.6,48.9,6.0,273.4,278.9,276.2,3107,8675,2358,2889,8549,2787,5996,17224,5145,28007,12.8
522,Åland,2011,48.8,5.8,49.9,5.3,49.4,5.6,273.8,283.4,278.6,3099,8742,2472,2925,8586,2885,6024,17328,5357,28354,13.5
523,Åland,2012,48.1,5.6,49.7,5.2,48.9,5.4,276.4,288.1,282.3,3090,8695,2579,2931,8584,2947,6021,17279,5526,28501,13.1
524,Åland,2013,47.7,5.9,49.5,5.0,48.6,5.5,282.0,295.6,288.9,3127,8685,2680,2920,8607,3025,6047,17292,5705,28666,14.6
525,Åland,2014,50.2,5.6,50.0,4.7,50.1,5.1,283.3,298.5,291.0,3134,8713,2776,2910,8596,3123,6044,17309,5899,28916,16.6
526,Åland,2015,49.9,5.7,49.9,4.4,49.9,5.0,280.9,298.2,289.6,3104,8709,2828,2900,8568,3195,6004,17277,6023,28983,26.6
527,Åland,2016,50.0,5.5,50.0,4.3,50.0,4.9,281.6,301.9,291.8,3147,8716,2892,2939,8594,3277,6086,17310,6169,29214,20.2
528,Åland,2017,50.1,5.0,49.9,4.1,50.0,4.6,318.8,344.4,331.8,3156,8758,2984,2947,8562,3417,6103,17320,6401,29489,15.9
529,Åland,2018,49.8,4.9,50.1,4.1,49.9,4.5,322.8,351.4,337.3,3212,8727,3105,2995,8540,3515,6207,17267,6620,29789,13.8
530,Åland,2019,48.7,5.6,48.6,4.8,48.7,5.2,325.0,356.8,341.2,3201,8662,3181,3022,8526,3605,6223,17188,6786,29884,16.4
531,Åland,2020,45.2,6.1,45.7,5.2,45.4,5.6,324.3,358.4,341.6,3201,8700,3240,3058,8543,3691,6259,17243,6931,30129,24.2
