"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Kruunupyy";1484;1479;26.6
"Kuhmo";2499;2499;35.2
"Kuhmoinen";926;923;44.3
"Kumlinge";99;"Ei tietoja";"Ei tietoja"
"Kuopio";21085;21043;50.4
"Kuortane";1045;1042;38.7
"Kurikka";5139;5131;28.9
"Kustavi";298;296;39.2
"Kuusamo";3407;3402;42.1
"Outokumpu";1821;1817;42
"Kyyjärvi";403;401;40.4
"Kärkölä";962;960;41.2
"Kärsämäki";620;619;31
"Kökar";80;"Ei tietoja";"Ei tietoja"
"Kemijärvi";2481;2476;45.2
"Kemiönsaari";2018;2000;23.8
"Lahti";24557;24463;46.3
"Laihia";1553;1553;32.1
"Laitila";1840;1837;33.1
"Lapinlahti";2270;2266;45.3
"Lappajärvi";965;962;40.3
"Lappeenranta";15002;14967;50.2
"Lapinjärvi";681;680;29.7
"Lapua";3035;3030;36.5
"Laukaa";3065;3062;43.4
"Lemi";655;655;46.1
"Lemland";297;"Ei tietoja";"Ei tietoja"
"Lempäälä";3192;3183;38.3
"Leppävirta";2491;2487;47.2
"Lestijärvi";208;208;50
"Lieksa";3530;3525;44.1
"Lieto";3199;3192;45.1
"Liminka";824;823;37.5
"Liperi";2139;2139;41.5
"Loimaa";4266;4244;30.8
"Loppi";1615;1607;37.4
"Loviisa";3717;3708;38.2
"Luhanka";294;294;47.6
"Lumijoki";307;307;36.2
"Lumparland";96;"Ei tietoja";"Ei tietoja"
"Luoto";642;641;22.9
"Luumäki";1367;1367;47.3
"Lohja";9154;9118;43.7
"Parainen";3534;3506;35
"Maalahti";1401;1387;16.2
"Maarianhamina";2452;"Ei tietoja";"Ei tietoja"
"Marttila";487;485;44.5
"Masku";1365;1364;43
"Merijärvi";234;233;35.6
"Merikarvia";979;969;31.2
"Miehikkälä";634;"Ei tietoja";"Ei tietoja"
"Mikkeli";12061;12048;54.2
"Muhos";1331;1329;43.9
"Multia";512;511;52.4
"Muonio";509;508;34.3
"Mustasaari";3600;3588;25.1
"Muurame";1403;1399;46
"Mynämäki";1718;1718;43
"Myrskylä";468;467;33.6
"Mäntsälä";3152;3145;36.3
"Mäntyharju";1829;1825;49.4
"Mänttä-Vilppula";3033;3029;27.7
"Naantali";4024;4009;41.8
"Nakkila";1323;1323;40.3
"Nivala";1970;1968;38.9
"Nokia";5660;5639;36.9
"Nousiainen";719;718;43.2
"Nurmes";2791;2785;42.9
"Nurmijärvi";5630;5618;47.4
"Närpiö";2537;2521;31.4
"Orimattila";3370;3363;40.5
"Oripää";329;328;32.3
"Orivesi";2435;2428;30.8
"Oulainen";1662;1656;40
"Oulu";26256;26190;45.6
"Padasjoki";1018;1015;41.3
"Paimio";1967;1963;41.8
"Paltamo";949;947;46.9
"Parikkala";1737;1733;45.4
"Parkano";1807;1805;27.8
"Pelkosenniemi";267;267;46.1
"Perho";541;541;30.9
"Pertunmaa";573;571;44
"Petäjävesi";819;819;43.8
"Pieksämäki";4987;4973;49.5
"Pielavesi";1423;1420;40
"Pietarsaari";4502;4493;31.9
"Pedersören kunta";1672;1672;28.5
"Pihtipudas";1122;1118;33.4
"Pirkkala";2785;2780;39.2
"Polvijärvi";1115;1112;35.2
"Pomarkku";600;599;27
"Pori";19159;19117;33.2
"Pornainen";611;610;44.6
"Posio";1050;1047;38.1
"Pudasjärvi";2115;2105;0.8
"Pukkila";403;402;40.8
"Punkalaidun";908;908;36.7
"Puolanka";871;869;45.6
"Puumala";794;787;57.4
"Pyhtää";1161;1157;46.9
"Pyhäjoki";760;760;47.9
"Pyhäjärvi";1573;1570;42.4
"Pyhäntä";267;266;32.3
"Pyhäranta";466;462;24.2
"Pälkäne";1638;1634;31.4
"Pöytyä";1842;1837;40.2
"Porvoo";8830;8801;43.3
"Raahe";4750;4734;46.9
"Raisio";4685;4671;38.2
"Rantasalmi";1106;1106;47
"Ranua";880;877;34.7
"Rauma";8697;8678;37.4
"Rautalampi";995;994;35.7
"Rautavaara";570;568;48.8
"Rautjärvi";1110;1109;56.3
"Reisjärvi";645;645;46
"Riihimäki";5359;5349;44
"Ristijärvi";464;464;45
"Rovaniemi";9945;9913;51.3
"Ruokolahti";1507;1505;55
"Ruovesi";1459;1457;46.1
"Rusko";909;909;43.6
"Rääkkylä";725;724;34.7
"Raasepori";6688;6654;33.2
"Saarijärvi";2645;2639;42.1
"Salla";1187;1178;48.4
"Salo";12100;12061;46.3
"Saltvik";362;"Ei tietoja";"Ei tietoja"
"Sauvo";612;609;49.6
"Savitaipale";1250;1249;53.8
"Savonlinna";9211;9191;47.7
"Savukoski";299;299;42.5
"Seinäjoki";10369;10353;30.4
"Sievi";812;809;32.9
"Siikainen";451;448;33.3
"Siikajoki";955;955;47.1
"Siilinjärvi";3467;3463;50.4
"Simo";801;801;45.3
"Sipoo";3149;3140;24.4
"Siuntio";869;865;27.9
"Sodankylä";1913;1908;37.6
"Soini";581;578;35.8
"Somero";2544;2530;42.3
"Sonkajärvi";1165;1163;34.1
"Sotkamo";2333;2333;41.9
"Sottunga";33;"Ei tietoja";"Ei tietoja"
"Sulkava";923;922;49.8
"Sund";225;"Ei tietoja";"Ei tietoja"
"Suomussalmi";2405;2402;39.6
"Suonenjoki";2025;2020;40.5
"Sysmä";1422;1419;43.1
"Säkylä";1762;1759;38.2
"Vaala";908;908;1
"Sastamala";6130;6120;36.7
"Siikalatva";1490;1487;37.2
"Taipalsaari";906;904;53.8
"Taivalkoski";952;952;36.7
"Taivassalo";491;490;38.6
"Tammela";1408;"Ei tietoja";"Ei tietoja"
"Tampere";39227;39117;39
"Tervo";495;495;44.8
"Tervola";874;869;37.3
"Teuva";1565;1563;23.7
"Tohmajärvi";1203;1203;31.8
"Toholampi";750;749;35.6
"Toivakka";567;567;45.1
"Tornio";4032;4010;43.1
"Turku";35398;35241;36.8
"Pello";1173;1164;39.3
"Tuusniemi";772;770;48.1
"Tuusula";5394;5378;43.4
"Tyrnävä";740;738;25.6
"Ulvila";2798;2791;35
"Urjala";1393;1384;34.8
"Utajärvi";682;681;1
"Utsjoki";280;279;35.5
"Uurainen";588;587;37.5
"Uusikaarlepyy";1675;1667;37.8
"Uusikaupunki";3760;3749;31.3
"Vaasa";11774;11729;34.8
"Valkeakoski";4843;4833;36.1
"Varkaus";5370;5364;47.4
"Vehmaa";585;584;37
"Vesanto";754;753;50.9
"Vesilahti";684;681;38.2
"Veteli";792;791;28.7
"Vieremä";856;854;34
"Vihti";4314;4302;39.9
"Viitasaari";1946;1941;39.4
"Vimpeli";730;730;42.1
"Virolahti";871;"Ei tietoja";"Ei tietoja"
"Virrat";2179;2176;39.3
"Vårdö";112;"Ei tietoja";"Ei tietoja"
"Vöyri";1543;1535;27.4
"Ylitornio";1318;1313;52.4
"Ylivieska";2413;2411;40.6
"Ylöjärvi";4842;4837;8.4
"Ypäjä";544;"Ei tietoja";"Ei tietoja"
"Ähtäri";1583;1579;43.5
"Äänekoski";4364;4358;34.4
"Evijärvi";648;647;39.6
"Brändö";124;"Ei tietoja";"Ei tietoja"
"Vantaa";28188;28093;45.2
"Hanko";2294;2288;29.5
"Askola";755;752;46.8
"Eurajoki";1873;1872;29.9
"Hammarland";297;"Ei tietoja";"Ei tietoja"
"Geta";114;"Ei tietoja";"Ei tietoja"
"Hartola";939;937;43.4
"Helsinki";96159;95633;46.4
"Hirvensalmi";695;695;44.6
"Enonkoski";470;469;44.3
"Enontekiö";386;385;34.3
"Akaa";3281;3277;35.2
"Eura";2944;2940;35.4
"Hailuoto";316;316;17.4
"Eckerö";204;"Ei tietoja";"Ei tietoja"
"Heinävesi";1156;1151;47.6
"Harjavalta";1910;1909;32
"Aura";612;611;40.1
"Hausjärvi";1446;1443;41.7
"Haapavesi";1316;1313;36.6
"Hollola";4606;4600;41.9
"Alajärvi";2294;2286;35
"Alavieska";545;544;35.5
"Finström";466;"Ei tietoja";"Ei tietoja"
"Haapajärvi";1445;1441;42.1
"Hankasalmi";1384;1381;47.2
"Hattula";1739;1735;44.5
"Espoo";33832;33673;46.2
"Alavus";2780;2776;38.8
"Halsua";339;337;41.2
"Forssa";4552;"Ei tietoja";"Ei tietoja"
"Föglö";155;"Ei tietoja";"Ei tietoja"
"Hamina";5231;5172;45.1
"Asikkala";2227;2222;46
