"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2603;2603;30.7
"Humppila";517;"Ei tietoja";"Ei tietoja"
"Hyrynsalmi";761;761;41
"Hyvinkää";8626;8598;47.1
"Hämeenkyrö";2128;2126;29.6
"Hämeenlinna";15153;15099;50.5
"Heinola";5436;5418;40.9
"Ii";1685;1679;2.8
"Iisalmi";4730;4721;40.9
"Iitti";1744;1736;40.8
"Ikaalinen";1901;1895;37.5
"Ilmajoki";2226;2223;33.8
"Ilomantsi";1772;1769;37.5
"Inari";1421;1411;41.5
"Inkoo";1095;1088;34.5
"Isojoki";649;649;29.4
"Isokyrö";1116;1114;33.5
"Imatra";7211;7193;44.6
"Janakkala";3338;3326;46
"Joensuu";14024;14000;40.4
"Jokioinen";1111;"Ei tietoja";"Ei tietoja"
"Jomala";613;"Ei tietoja";"Ei tietoja"
"Joroinen";1234;1232;47.3
"Joutsa";1527;1523;45.3
"Juuka";1502;1502;40.7
"Juupajoki";453;452;25.7
"Juva";1906;1904;55.4
"Jyväskylä";21451;21407;46
"Jämijärvi";479;479;43
"Jämsä";5650;5637;38.9
"Järvenpää";6142;6124;40.2
"Kaarina";5829;5808;43.8
"Kaavi";944;944;42.4
"Kajaani";7096;7088;40.7
"Kalajoki";2601;2592;31.7
"Kangasala";5381;5365;37.3
"Kangasniemi";1797;1795;51.8
"Kankaanpää";2876;2872;36.1
"Kannonkoski";439;437;39.4
"Kannus";1092;1088;39.1
"Karijoki";414;410;24.9
"Karkkila";1919;1913;41.2
"Karstula";1176;1174;43.1
"Karvia";714;712;33.1
"Kaskinen";378;376;38
"Kauhajoki";3015;3006;27.7
"Kauhava";4055;4048;29.8
"Kauniainen";1988;1972;48.7
"Kaustinen";841;841;28.9
"Keitele";669;667;54.7
"Kemi";4816;4804;38.6
"Keminmaa";1573;1570;42
"Kempele";2226;2223;39.6
"Kerava";5582;5568;45.1
"Keuruu";2887;2882;45.1
"Kihniö";534;534;33
"Kinnula";453;451;12.9
"Kirkkonummi";4898;4876;42.4
"Kitee";3078;3073;37
"Kittilä";1167;1162;54.4
"Kiuruvesi";2222;2219;43.6
"Kivijärvi";375;374;37.2
"Kokemäki";1982;1978;36.6
"Kokkola";8859;8842;32.4
"Kolari";870;864;29.6
"Konnevesi";805;804;40.9
"Kontiolahti";1838;1836;38.5
"Korsnäs";572;568;19.9
"Koski Tl";716;713;37.6
"Kotka";12558;12520;42.5
"Kouvola";19776;19725;43.4
"Kristiinankaupunki";2034;2020;29.8
