"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Lieksa";3947;3941;56.5
"Lieto";3872;3868;56.7
"Liminka";1033;1032;50.8
"Liperi";2559;2558;53
"Loimaa";4715;4713;48.5
"Loppi";1937;1935;39.7
"Loviisa";4239;4231;52.5
"Luhanka";299;299;42.5
"Lumijoki";365;364;47.5
"Lumparland";101;98;48
"Luoto";775;772;25.8
"Luumäki";1524;1524;54.2
"Lohja";11008;10991;48.8
"Parainen";4085;4073;47.2
"Maalahti";1534;1527;30.5
"Maarianhamina";2917;2885;40.8
"Marttila";534;534;51.1
"Masku";1684;1682;55.6
"Merijärvi";262;262;47.3
"Merikarvia";1054;1050;34.9
"Miehikkälä";678;678;55.8
"Mikkeli";13895;13880;62.7
"Muhos";1583;1581;47.8
"Multia";536;534;51.3
"Muonio";611;609;47.9
"Mustasaari";4179;4171;32.6
"Muurame";1879;1877;54
"Mynämäki";2000;1999;55.1
"Myrskylä";525;523;43
"Mäntsälä";3917;3910;55.9
"Mäntyharju";2049;2047;56.2
"Mänttä-Vilppula";3340;3332;42.9
"Naantali";5002;4992;50
"Nakkila";1468;1467;44
"Nivala";2346;2345;45.8
"Nokia";6941;6934;39.8
"Nousiainen";901;901;50.6
"Nurmes";3232;3227;52.8
"Nurmijärvi";7172;7161;56.5
"Närpiö";2695;2687;36.7
"Orimattila";3928;3924;50.4
"Oripää";363;363;50.4
"Orivesi";2679;2676;42.5
"Oulainen";1931;1929;49.4
"Oulu";33030;32982;43.2
"Padasjoki";1132;1130;47.8
"Paimio";2381;2375;53
"Paltamo";1058;1058;38.4
"Parikkala";1828;1823;54.9
"Parkano";2061;2060;45.1
"Pelkosenniemi";315;315;47.3
"Perho";636;636;44.3
"Pertunmaa";617;616;56
"Petäjävesi";908;908;49.7
"Pieksämäki";5559;5555;53.5
"Pielavesi";1566;1565;53.2
"Pietarsaari";4926;4914;38.6
"Pedersören kunta";1957;1956;35.3
"Pihtipudas";1217;1213;49.7
"Pirkkala";3473;3472;58.5
"Polvijärvi";1371;1371;52.7
"Pomarkku";649;648;39.7
"Pori";21478;21451;36.4
"Pornainen";794;793;58.5
"Posio";1235;1232;43.3
"Pudasjärvi";2427;2420;46.2
"Pukkila";406;404;47.8
"Punkalaidun";960;959;47
"Puolanka";949;949;49.9
"Puumala";902;899;59.7
"Pyhtää";1310;1309;55.5
"Pyhäjoki";863;862;51
"Pyhäjärvi";1723;1720;45.5
"Pyhäntä";361;361;38.5
"Pyhäranta";561;560;52
"Pälkäne";1810;1809;50.9
"Pöytyä";2049;2043;52.3
"Porvoo";10640;10615;45.8
"Raahe";6011;6003;52.4
"Raisio";5488;5480;51.1
"Rantasalmi";1160;1160;52.1
"Ranua";1059;1059;45.7
"Rauma";9969;9962;47.4
"Rautalampi";1076;1074;51.6
"Rautavaara";597;596;56
"Rautjärvi";1192;1188;59.8
"Reisjärvi";721;720;52.8
"Riihimäki";6397;6391;43.5
"Ristijärvi";480;480;23.8
"Rovaniemi";12049;12025;47.2
"Ruokolahti";1690;1686;59.3
"Ruovesi";1557;1556;53.9
"Rusko";1187;1185;53.8
"Rääkkylä";833;831;49.6
"Raasepori";7394;7360;37.1
"Saarijärvi";2932;2929;50
"Salla";1289;1287;59.2
"Salo";13917;13894;56
"Saltvik";446;445;31.5
"Sauvo";757;755;56.2
"Savitaipale";1302;1300;59.4
"Savonlinna";10423;10404;56
"Savukoski";320;320;51.2
"Seinäjoki";12670;12663;37.7
"Sievi";913;912;48.4
"Siikainen";491;490;42.2
"Siikajoki";1152;1152;48.2
"Siilinjärvi";4362;4360;59.3
"Simo";959;958;56.8
"Sipoo";3787;3779;46.7
"Siuntio";1169;1166;43.3
"Sodankylä";2254;2252;56.1
"Soini";614;611;48.4
"Somero";2782;2781;52.8
"Sonkajärvi";1280;1279;45.3
"Sotkamo";2721;2721;31.8
"Sottunga";37;37;29.7
"Sulkava";972;971;59.5
"Sund";261;258;36.4
"Suomussalmi";2796;2793;35.9
"Suonenjoki";2203;2200;56.1
"Sysmä";1529;1527;56.6
"Säkylä";2029;2026;47.1
"Vaala";1008;1008;47.2
"Sastamala";7082;7078;45.6
"Siikalatva";1572;1570;15.5
"Taipalsaari";1132;1131;58.5
"Taivalkoski";1151;1151;50.4
"Taivassalo";563;562;56.6
"Tammela";1611;1609;43.5
"Tampere";45222;45155;44.6
"Tervo";578;578;57.1
"Tervola";848;846;46.3
"Teuva";1636;1634;35.5
"Tohmajärvi";1372;1369;42.8
"Toholampi";819;818;47.6
"Toivakka";622;621;47
"Tornio";4980;4955;51.5
"Turku";39587;39484;43.2
"Pello";1317;1316;39.6
"Tuusniemi";863;860;54.3
"Tuusula";6897;6888;55.4
"Tyrnävä";867;867;48.2
"Ulvila";3270;3265;40.2
"Urjala";1529;1526;45.1
"Utajärvi";790;790;46.3
"Utsjoki";340;340;48.5
"Uurainen";733;732;43
"Uusikaarlepyy";1861;1851;44.5
"Uusikaupunki";4415;4412;57.7
"Vaasa";13473;13449;39.9
"Valkeakoski";5648;5642;48.4
"Varkaus";6236;6232;49.8
"Vehmaa";652;649;60.7
"Vesanto";826;825;52.6
"Vesilahti";799;796;47.9
"Veteli";924;924;42.2
"Vieremä";923;922;47.5
"Vihti";5578;5572;51.3
"Viitasaari";2170;2165;52.5
"Vimpeli";813;813;53.3
"Virolahti";978;977;56.4
"Virrat";2409;2406;49.3
"Vårdö";137;136;37.5
"Vöyri";1663;1657;30.8
"Ylitornio";1457;1447;52.9
"Ylivieska";3025;3019;47.7
"Ylöjärvi";5928;5923;49.9
"Ypäjä";635;634;46.7
"Ähtäri";1773;1771;53.2
"Äänekoski";4994;4992;48.8
"Evijärvi";680;680;48.8
"Brändö";141;141;41.8
"Vantaa";34779;34720;43.3
"Hanko";2569;2559;30.1
"Askola";944;941;57.3
"Eurajoki";2375;2373;42.9
"Hammarland";346;338;30.8
"Geta";108;107;36.4
"Hartola";1042;1040;52.1
"Helsinki";109652;109278;43.3
"Hirvensalmi";766;764;54.8
"Enonkoski";523;523;52.8
"Enontekiö";491;488;45.7
"Akaa";3829;3826;46.5
"Eura";3197;3196;49.2
"Hailuoto";363;362;48.9
"Eckerö";251;250;33.2
"Heinävesi";1216;1213;57.1
"Harjavalta";2149;2148;41.6
"Aura";780;780;47.1
"Hausjärvi";1737;1734;36
"Haapavesi";1547;1545;42.1
"Hollola";5648;5642;52.3
"Alajärvi";2625;2624;43.9
"Alavieska";601;599;42.4
"Finström";559;550;35.5
"Haapajärvi";1686;1683;53.1
"Hankasalmi";1472;1470;44.6
"Hattula";2080;2079;52.6
"Espoo";42063;41940;53.7
"Alavus";3145;3142;46.1
"Halsua";372;371;53.6
"Forssa";5176;5169;45.7
"Föglö";160;158;36.7
"Hamina";5844;5834;53
"Asikkala";2638;2634;52
