"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2864;2863;47
"Humppila";614;613;42.6
"Hyrynsalmi";876;875;46.3
"Hyvinkää";10351;10336;42.4
"Hämeenkyrö";2457;2456;40.5
"Hämeenlinna";17406;17374;48
"Heinola";6355;6345;50.8
"Ii";2013;2008;51.4
"Iisalmi";5529;5524;44
"Iitti";2038;2035;52.3
"Ikaalinen";2167;2165;46.1
"Ilmajoki";2626;2621;38
"Ilomantsi";1881;1880;50.1
"Inari";1739;1735;51.2
"Inkoo";1336;1330;39.5
"Isojoki";635;634;35.8
"Isokyrö";1222;1219;38.8
"Imatra";7900;7891;56.8
"Janakkala";3887;3883;52.2
"Joensuu";16729;16710;56.6
"Jokioinen";1336;1335;47.7
"Jomala";787;785;37.8
"Joroinen";1397;1396;56.8
"Joutsa";1661;1659;51.8
"Juuka";1641;1641;49.2
"Juupajoki";545;545;38.9
"Juva";2118;2115;60
"Jyväskylä";25812;25777;45.1
"Jämijärvi";512;511;48.5
"Jämsä";6275;6268;44
"Järvenpää";8122;8114;52.3
"Kaarina";7136;7131;54.7
"Kaavi";973;973;53.2
"Kajaani";8373;8364;34.2
"Kalajoki";3122;3114;42.8
"Kangasala";6518;6507;51.7
"Kangasniemi";1922;1922;58.1
"Kankaanpää";3496;3492;45.1
"Kannonkoski";454;454;46
"Kannus";1267;1264;48.3
"Karijoki";426;423;31.2
"Karkkila";2257;2255;49.7
"Karstula";1329;1327;47.6
"Karvia";782;782;36.3
"Kaskinen";501;501;43.5
"Kauhajoki";3522;3514;40.8
"Kauhava";4456;4452;38.6
"Kauniainen";2236;2220;48
"Kaustinen";974;974;45.5
"Keitele";786;785;65
"Kemi";5574;5563;49.9
"Keminmaa";1956;1954;53.4
"Kempele";2872;2871;55.3
"Kerava";7118;7109;62.3
"Keuruu";3179;3179;49.5
"Kihniö";589;589;36.5
"Kinnula";518;515;38.1
"Kirkkonummi";6393;6381;51.9
"Kitee";3556;3553;55.4
"Kittilä";1331;1330;51.9
"Kiuruvesi";2364;2362;42.3
"Kivijärvi";399;399;45.4
"Kokemäki";2094;2092;46.9
"Kokkola";10467;10458;46.9
"Kolari";1016;1009;46.9
"Konnevesi";885;885;44.4
"Kontiolahti";2479;2477;51.8
"Korsnäs";592;589;31.4
"Koski Tl";758;758;51.6
"Kotka";13925;13905;50
"Kouvola";22525;22498;53
"Kristiinankaupunki";2261;2252;40.3
"Kruunupyy";1622;1618;32.3
"Kuhmo";2933;2933;32.3
"Kuhmoinen";940;939;47.8
"Kumlinge";114;114;40.4
"Kuopio";25263;25220;62.1
"Kuortane";1116;1114;47.8
"Kurikka";6059;6054;39.3
"Kustavi";369;368;50.5
"Kuusamo";4109;4101;45.3
"Outokumpu";2087;2084;58.6
"Kyyjärvi";442;442;49.8
"Kärkölä";1133;1132;49.9
"Kärsämäki";698;698;42.8
"Kökar";81;81;18.5
"Kemijärvi";2800;2793;49.6
"Kemiönsaari";2221;2210;33.6
"Lahti";29202;29140;45.1
"Laihia";1793;1790;39.9
"Laitila";2049;2048;42.6
"Lapinlahti";2577;2576;50.1
"Lappajärvi";1005;1003;48.4
"Lappeenranta";17160;17140;56.8
"Lapinjärvi";737;736;39.9
"Lapua";3408;3408;46.1
"Laukaa";3711;3705;47.8
"Lemi";732;730;53.8
"Lemland";364;355;37.5
"Lempäälä";3940;3937;49.7
"Leppävirta";2842;2839;55.5
"Lestijärvi";225;225;61.3
