 "Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Reisjärvi";725;724;59.3
"Riihimäki";6489;6483;57.8
"Ristijärvi";476;476;63
"Rovaniemi";12522;12501;51.5
"Ruokolahti";1705;1705;60.8
"Ruovesi";1570;1570;57.5
"Rusko";1226;1224;59.4
"Rääkkylä";844;843;60
"Raasepori";7473;7444;47.2
"Saarijärvi";3002;3000;52.1
"Salla";1308;1308;58.7
"Salo";14205;14182;56.8
"Saltvik";455;452;36.7
"Sauvo";780;778;62.6
"Savitaipale";1298;1296;60.3
"Savonlinna";10564;10549;58.1
"Savukoski";324;324;65.1
"Seinäjoki";12965;12960;47.9
"Sievi";937;936;55.2
"Siikainen";486;485;49.1
"Siikajoki";1193;1193;52.1
"Siilinjärvi";4468;4466;36
"Simo";983;982;61.1
"Sipoo";3842;3835;53.7
"Siuntio";1195;1193;52.1
"Sodankylä";2280;2278;58.4
"Soini";633;630;53.2
"Somero";2817;2816;56.9
"Sonkajärvi";1306;1305;58.6
"Sotkamo";2749;2749;58.5
"Sottunga";36;36;33.3
"Sulkava";972;971;56.4
"Sund";265;262;38.5
"Suomussalmi";2838;2835;54.9
"Suonenjoki";2243;2240;64.4
"Sysmä";1560;1559;54.9
"Säkylä";2050;2046;45.3
"Vaala";1004;1004;53.7
"Sastamala";7201;7197;52.8
"Siikalatva";1581;1579;50.2
"Taipalsaari";1175;1174;62.3
"Taivalkoski";1186;1186;54.6
"Taivassalo";574;573;64.6
"Tammela";1637;1635;47.1
"Tampere";45926;45868;55.1
"Tervo";573;573;65.1
"Tervola";845;843;54.6
"Teuva";1660;1658;45.6
"Tohmajärvi";1396;1394;52.1
"Toholampi";827;827;55.4
"Toivakka";646;646;51.9
"Tornio";5121;5096;63
"Turku";40087;40003;51.2
"Pello";1331;1330;48
"Tuusniemi";887;884;63.3
"Tuusula";7107;7095;58.3
"Tyrnävä";881;881;43.4
"Ulvila";3337;3332;48.8
"Urjala";1541;1541;51.5
"Utajärvi";804;804;51.6
"Utsjoki";347;347;39.5
"Uurainen";734;733;45.7
"Uusikaarlepyy";1881;1874;53.3
"Uusikaupunki";4477;4474;57.4
"Vaasa";13698;13674;44.2
"Valkeakoski";5696;5690;51.9
"Varkaus";6333;6330;55.8
"Vehmaa";666;663;60
"Vesanto";816;815;60.4
"Vesilahti";809;806;52
"Veteli";939;939;46.5
"Vieremä";942;941;57.8
"Vihti";5699;5693;57.6
"Viitasaari";2203;2198;58.1
"Vimpeli";847;847;57.4
"Virolahti";981;981;67.2
"Virrat";2419;2416;54.8
"Vårdö";134;134;36.6
"Vöyri";1691;1684;41
"Ylitornio";1479;1471;58.5
"Ylivieska";3122;3117;59.4
"Ylöjärvi";6109;6105;28.1
"Ypäjä";642;641;47.9
"Ähtäri";1824;1822;59.4
"Äänekoski";5086;5083;54.4
"Evijärvi";692;692;48.8
"Brändö";144;144;54.2
"Vantaa";35711;35657;51
"Hanko";2609;2599;45.4
"Askola";959;956;61.4
"Eurajoki";2404;2401;52.9
"Hammarland";350;344;41.3
"Geta";113;112;34.8
"Hartola";1055;1055;58
"Helsinki";111674;111329;50.4
"Hirvensalmi";774;773;60.5
"Enonkoski";522;521;58.9
"Enontekiö";508;506;49.4
"Akaa";3927;3924;51.5
"Eura";3217;3216;58.4
"Hailuoto";366;365;55.3
"Eckerö";253;251;33.5
"Heinävesi";1219;1217;61.5
"Harjavalta";2154;2152;49.1
"Aura";821;821;54.8
"Hausjärvi";1778;1775;48.6
"Haapavesi";1587;1585;45.8
"Hollola";5761;5753;56.2
"Alajärvi";2637;2636;45.4
"Alavieska";621;619;52
"Finström";553;548;39.6
"Haapajärvi";1712;1709;57.6
"Hankasalmi";1503;1502;51.1
"Hattula";2134;2133;61.3
"Espoo";43331;43210;57.2
"Alavus";3201;3199;51.9
"Halsua";378;377;58.1
"Forssa";5225;5218;50
"Föglö";165;164;43.9
"Hamina";5897;5890;58.8
"Asikkala";2704;2701;52.2
