"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Lohja";10757;10737;43.9
"Parainen";4035;4018;42.6
"Maalahti";1504;1495;32.2
"Maarianhamina";2837;2806;42.3
"Marttila";525;525;50.3
"Masku";1636;1634;53.2
"Merijärvi";259;259;45.2
"Merikarvia";1041;1037;39.6
"Miehikkälä";689;689;56.5
"Mikkeli";13670;13655;59.9
"Muhos";1533;1531;43.5
"Multia";523;521;51.2
"Muonio";593;590;49
"Mustasaari";4072;4063;32.4
"Muurame";1808;1805;52.7
"Mynämäki";1934;1933;51.8
"Myrskylä";509;508;49.4
"Mäntsälä";3785;3780;54
"Mäntyharju";2035;2033;56.9
"Mänttä-Vilppula";3309;3300;46.9
"Naantali";4872;4860;49.4
"Nakkila";1447;1446;43.2
"Nivala";2284;2283;47.6
"Nokia";6738;6726;47.8
"Nousiainen";863;863;48.8
"Nurmes";3188;3183;54
"Nurmijärvi";6941;6930;55.8
"Närpiö";2698;2690;39.7
"Orimattila";3879;3875;53.9
"Oripää";348;348;49.1
"Orivesi";2626;2623;43.7
"Oulainen";1884;1882;50.2
"Oulu";31930;31864;24.8
"Padasjoki";1122;1121;52.5
"Paimio";2303;2297;53
"Paltamo";1049;1049;54.9
"Parikkala";1809;1804;58.3
"Parkano";2016;2014;44.3
"Pelkosenniemi";308;306;48
"Perho";627;627;45.1
"Pertunmaa";603;602;56.8
"Petäjävesi";894;894;44.7
"Pieksämäki";5412;5402;49.6
"Pielavesi";1543;1542;55.2
"Pietarsaari";4873;4861;38.3
"Pedersören kunta";1905;1903;34.9
"Pihtipudas";1188;1185;49.3
"Pirkkala";3374;3373;59
"Polvijärvi";1303;1303;49.9
"Pomarkku";637;636;39.6
"Pori";21164;21134;42
"Pornainen";757;756;50.7
"Posio";1190;1186;42.5
"Pudasjärvi";2379;2372;46.8
"Pukkila";407;405;48.6
"Punkalaidun";940;939;42.1
"Puolanka";943;942;60.3
"Puumala";877;874;59.3
"Pyhtää";1287;1286;53.5
"Pyhäjoki";857;857;53.3
"Pyhäjärvi";1690;1686;46.9
"Pyhäntä";334;334;42.2
"Pyhäranta";543;542;48
"Pälkäne";1792;1791;54.7
"Pöytyä";2019;2012;52
"Porvoo";10401;10369;48.3
"Raahe";5825;5813;51.9
"Raisio";5351;5338;51.1
"Rantasalmi";1139;1139;52.6
"Ranua";1024;1022;47.2
"Rauma";9800;9786;49
"Rautalampi";1067;1065;61
"Rautavaara";616;615;56.9
"Rautjärvi";1182;1178;60.7
"Reisjärvi";712;711;52.9
"Riihimäki";6218;6209;46.1
"Ristijärvi";482;482;24.7
"Rovaniemi";11712;11689;53.3
"Ruokolahti";1656;1652;61.7
"Ruovesi";1532;1531;51.3
"Rusko";1148;1146;50.4
"Rääkkylä";819;817;52.6
"Raasepori";7290;7256;36.4
"Saarijärvi";2879;2875;50
"Salla";1279;1277;56.4
"Salo";13682;13650;55
"Saltvik";434;434;30.6
"Sauvo";737;735;55.8
"Savitaipale";1293;1291;60.7
"Savonlinna";10217;10195;55.7
"Savukoski";319;319;54.2
"Seinäjoki";12263;12251;40.9
"Sievi";902;901;45.5
"Siikainen";487;485;42.9
"Siikajoki";1118;1118;46.4
"Siilinjärvi";4204;4200;65
"Simo";928;927;46.2
"Sipoo";3721;3714;46.7
"Siuntio";1108;1104;38.2
"Sodankylä";2201;2199;56.1
"Soini";612;608;51.8
"Somero";2767;2763;52.9
"Sonkajärvi";1238;1237;47.5
"Sotkamo";2646;2646;46.6
"Sottunga";38;38;31.6
"Sulkava";979;978;59.2
"Sund";251;249;34.5
"Suomussalmi";2704;2701;51
"Suonenjoki";2172;2170;53.5
"Sysmä";1514;1511;55.8
"Säkylä";1989;1986;48.2
"Vaala";982;982;48.8
"Sastamala";6946;6941;42.6
"Siikalatva";1534;1533;47.8
"Taipalsaari";1083;1082;59.6
"Taivalkoski";1117;1117;48.3
"Taivassalo";540;539;59.7
"Tammela";1569;1567;41.3
"Tampere";44344;44273;47.6
"Tervo";564;564;52.1
"Tervola";841;839;47.4
"Teuva";1630;1629;37.7
"Tohmajärvi";1345;1342;39.3
"Toholampi";817;815;47.7
"Toivakka";613;612;47.7
"Tornio";4849;4820;45.7
"Turku";39002;38888;51.4
"Pello";1302;1301;35.7
"Tuusniemi";858;856;55.3
"Tuusula";6651;6640;54.5
"Tyrnävä";838;838;50
"Ulvila";3240;3235;42.8
"Urjala";1518;1514;43.3
"Utajärvi";781;781;48.1
"Utsjoki";332;331;51.1
"Uurainen";717;715;45.2
"Uusikaarlepyy";1847;1836;42.2
"Uusikaupunki";4317;4311;54.6
"Vaasa";13199;13173;39.8
"Valkeakoski";5568;5560;46.4
"Varkaus";6074;6071;57
"Vehmaa";645;642;57.5
"Vesanto";816;815;48.7
"Vesilahti";792;788;51.5
"Veteli";908;907;44.5
"Vieremä";927;926;47.4
"Vihti";5400;5394;51
"Viitasaari";2118;2113;52.1
"Vimpeli";808;808;49.8
"Virolahti";966;964;62.6
"Virrat";2366;2363;48.2
"Vårdö";137;136;44.9
"Vöyri";1634;1629;30.7
"Ylitornio";1442;1435;49.4
"Ylivieska";2939;2933;46.6
"Ylöjärvi";5758;5753;54.1
"Ypäjä";627;626;45.8
"Ähtäri";1762;1760;53.6
"Äänekoski";4900;4896;42.8
"Evijärvi";658;658;43.2
"Brändö";134;134;40.3
"Vantaa";33840;33773;56.8
"Hanko";2529;2521;35.2
"Askola";927;922;56.6
"Eurajoki";2327;2326;41.1
"Hammarland";341;333;10.2
"Geta";113;113;31
"Hartola";1017;1015;54.5
"Helsinki";107493;107039;48.6
"Hirvensalmi";753;751;55
"Enonkoski";528;527;54.3
"Enontekiö";474;470;48.1
"Akaa";3760;3755;46.3
"Eura";3180;3177;50.2
"Hailuoto";363;362;49.7
"Eckerö";234;233;33.9
"Heinävesi";1202;1199;52.3
"Harjavalta";2121;2119;41.6
"Aura";753;752;51.2
"Hausjärvi";1682;1679;37.3
"Haapavesi";1491;1489;45.2
"Hollola";5477;5469;54.2
"Alajärvi";2590;2589;34.3
"Alavieska";594;592;47.3
"Finström";544;534;37.3
"Haapajärvi";1632;1626;52.8
"Hankasalmi";1458;1454;47
"Hattula";2038;2036;47.5
"Espoo";40843;40696;58.6
"Alavus";3049;3046;49.4
"Halsua";380;379;49.9
"Forssa";5069;5062;45.7
"Föglö";160;157;36.9
"Hamina";5778;5766;61.6
"Asikkala";2588;2582;54
