"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2822;2821;47
"Humppila";600;600;44
"Hyrynsalmi";848;847;51.1
"Hyvinkää";10113;10100;49
"Hämeenkyrö";2406;2405;41.9
"Hämeenlinna";17080;17038;55.1
"Heinola";6219;6204;52.4
"Ii";1972;1967;52.1
"Iisalmi";5405;5399;52
"Iitti";2004;2002;52.8
"Ikaalinen";2135;2131;46.5
"Ilmajoki";2553;2548;40.6
"Ilomantsi";1860;1859;45.4
"Inari";1689;1686;51.2
"Inkoo";1299;1292;40.6
"Isojoki";628;628;36.3
"Isokyrö";1208;1205;40.6
"Imatra";7821;7808;60.1
"Janakkala";3834;3830;54.9
"Joensuu";16368;16351;52.6
"Jokioinen";1304;1303;46
"Jomala";757;754;36.1
"Joroinen";1376;1375;56.9
"Joutsa";1658;1656;50.4
"Juuka";1603;1603;34.4
"Juupajoki";528;528;40.3
"Juva";2088;2085;61.6
"Jyväskylä";25213;25170;52
"Jämijärvi";522;522;54.4
"Jämsä";6174;6165;45.1
"Järvenpää";7791;7781;51
"Kaarina";6931;6922;55.1
"Kaavi";964;964;48.5
"Kajaani";8125;8115;50.5
"Kalajoki";3045;3036;40.8
"Kangasala";6321;6310;54.7
"Kangasniemi";1935;1935;58.9
"Kankaanpää";3380;3375;44.7
"Kannonkoski";451;451;48.6
"Kannus";1242;1239;45.6
"Karijoki";430;427;37
"Karkkila";2219;2215;50.4
"Karstula";1304;1302;48
"Karvia";778;778;39.8
"Kaskinen";483;482;41.7
"Kauhajoki";3441;3433;40.3
"Kauhava";4408;4403;39.7
"Kauniainen";2200;2183;61.5
"Kaustinen";948;948;43.6
"Keitele";750;749;68.2
"Kemi";5424;5410;50.1
"Keminmaa";1895;1892;47.6
"Kempele";2795;2794;53.2
"Kerava";6905;6897;61.9
"Keuruu";3135;3135;52.2
"Kihniö";571;571;40.8
"Kinnula";492;489;35
"Kirkkonummi";6161;6147;52.9
"Kitee";3470;3467;48.5
"Kittilä";1318;1317;52.5
"Kiuruvesi";2354;2352;50
"Kivijärvi";393;392;47.7
"Kokemäki";2092;2089;43.3
"Kokkola";10229;10214;43.9
"Kolari";986;979;49
"Konnevesi";876;874;46.2
"Kontiolahti";2377;2373;52.4
"Korsnäs";587;582;36.9
"Koski Tl";748;748;51.7
"Kotka";13757;13733;56.7
"Kouvola";22155;22123;53
"Kristiinankaupunki";2227;2215;42.1
"Kruunupyy";1585;1581;31.4
"Kuhmo";2859;2859;49
"Kuhmoinen";953;952;49.1
"Kumlinge";109;109;19.3
"Kuopio";24574;24529;59.8
"Kuortane";1106;1105;51.2
"Kurikka";5947;5939;41.1
"Kustavi";355;354;48.6
"Kuusamo";3965;3958;49
"Outokumpu";2044;2040;51.9
"Kyyjärvi";429;429;45.2
"Kärkölä";1123;1121;50.7
"Kärsämäki";679;679;42.3
"Kökar";79;78;20.5
"Kemijärvi";2749;2742;44.4
"Kemiönsaari";2177;2165;29.2
"Lahti";28579;28508;55.9
"Laihia";1741;1739;37.8
"Laitila";2000;1999;42
"Lapinlahti";2535;2534;52.9
"Lappajärvi";995;992;46.6
"Lappeenranta";16850;16820;58.1
"Lapinjärvi";734;731;41.6
"Lapua";3363;3362;44.6
"Laukaa";3631;3626;48.3
"Lemi";729;727;56.8
"Lemland";350;341;39.3
"Lempäälä";3827;3823;51.3
"Leppävirta";2790;2787;54.1
"Lestijärvi";229;229;50.2
"Lieksa";3850;3844;54.7
"Lieto";3774;3769;57.2
"Liminka";1011;1010;47.1
"Liperi";2498;2498;46.6
"Loimaa";4663;4661;50.2
"Loppi";1896;1894;42.2
"Loviisa";4130;4123;46.3
"Luhanka";299;299;46.8
"Lumijoki";356;355;44.2
"Lumparland";101;98;50
"Luoto";753;750;23.2
"Luumäki";1516;1516;55.3
