"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Lempäälä";3313;3309;37.9
"Leppävirta";2533;2529;41.2
"Lestijärvi";215;215;54
"Lieksa";3626;3620;44.4
"Lieto";3331;3328;39.6
"Liminka";867;863;36.6
"Liperi";2199;2199;42.7
"Loimaa";4399;4391;38.5
"Loppi";1680;1674;33
"Loviisa";3782;3773;39.1
"Luhanka";293;293;41.3
"Lumijoki";308;308;24.7
"Lumparland";97;95;42.1
"Luoto";664;663;19.9
"Luumäki";1396;1396;44.8
"Lohja";9534;9507;39.9
"Parainen";3639;3613;36.9
"Maalahti";1439;1430;23.1
"Maarianhamina";2546;2515;33.4
"Marttila";499;498;40.4
"Masku";1421;1419;34.8
"Merijärvi";241;241;34
"Merikarvia";994;985;32.1
"Miehikkälä";646;"Ei tietoja";"Ei tietoja"
"Mikkeli";12437;12420;36.4
"Muhos";1342;1329;39.7
"Multia";516;514;39.7
"Muonio";530;528;37.3
"Mustasaari";3710;3700;27.2
"Muurame";1503;1498;38.1
"Mynämäki";1753;1753;40
"Myrskylä";481;480;35
"Mäntsälä";3308;3303;36.3
"Mäntyharju";1893;1887;44.5
"Mänttä-Vilppula";3127;3120;27.1
"Naantali";4210;4198;36.6
"Nakkila";1373;1373;40.3
"Nivala";2033;2030;38.2
"Nokia";5944;5926;32.7
"Nousiainen";744;743;33.4
"Nurmes";2920;2914;42.9
"Nurmijärvi";5947;5934;46.6
"Närpiö";2568;2551;31.8
"Orimattila";3476;3472;35.3
"Oripää";336;335;31
"Orivesi";2488;2484;38.6
"Oulainen";1720;1713;40
"Oulu";27513;27335;38.6
"Padasjoki";1051;1048;37.2
"Paimio";2048;2042;34.2
"Paltamo";977;974;45.8
"Parikkala";1764;1760;48.3
"Parkano";1848;1846;37.1
"Pelkosenniemi";271;271;42.1
"Perho";562;562;29.4
"Pertunmaa";590;588;42
"Petäjävesi";843;843;37.6
"Pieksämäki";5063;5049;42.6
"Pielavesi";1467;1465;36.5
"Pietarsaari";4624;4615;30.9
"Pedersören kunta";1769;1769;29.5
"Pihtipudas";1129;1124;30.7
"Pirkkala";2939;2936;39.1
"Polvijärvi";1167;1164;43.4
"Pomarkku";608;608;26.6
"Pori";19733;19694;33.9
"Pornainen";657;656;38.7
"Posio";1082;1076;37
"Pudasjärvi";2181;"Ei tietoja";"Ei tietoja"
"Pukkila";409;407;37.1
"Punkalaidun";893;893;38
"Puolanka";899;892;24.6
"Puumala";815;807;48.5
"Pyhtää";1190;1186;45.9
"Pyhäjoki";788;788;49.6
"Pyhäjärvi";1607;1605;38.9
"Pyhäntä";278;278;29.1
"Pyhäranta";490;487;24.8
"Pälkäne";1667;1665;38.7
"Pöytyä";1875;1870;33.7
"Porvoo";9153;9122;35.8
"Raahe";4987;4970;50.5
"Raisio";4817;4804;38.2
"Rantasalmi";1110;1110;39.8
"Ranua";920;914;29.1
"Rauma";8939;8926;29.1
"Rautalampi";1020;1018;37.1
"Rautavaara";590;588;50.5
"Rautjärvi";1126;1125;57.4
"Reisjärvi";658;658;50.5
"Riihimäki";5557;5546;38
"Ristijärvi";466;466;40.8
"Rovaniemi";10328;10298;44.3
"Ruokolahti";1538;1536;55.9
"Ruovesi";1476;1474;37.8
"Rusko";950;950;41.1
"Rääkkylä";742;741;40.6
"Raasepori";6849;6819;31.8
"Saarijärvi";2695;2691;40
"Salla";1199;1191;49.4
"Salo";12465;12433;44.1
"Saltvik";374;373;25.2
"Sauvo";637;633;46.8
"Savitaipale";1266;1263;55.2
"Savonlinna";9425;9406;43.4
"Savukoski";312;311;41.8
"Seinäjoki";10764;10752;30.7
"Sievi";835;832;26.6
"Siikainen";462;460;24.6
"Siikajoki";977;976;45.8
"Siilinjärvi";3636;3633;50.2
"Simo";818;"Ei tietoja";"Ei tietoja"
"Sipoo";3298;3290;22.4
"Siuntio";915;913;29.7
"Sodankylä";1989;1983;49.4
"Soini";584;580;30.9
"Somero";2624;2619;39.3
"Sonkajärvi";1181;1180;49.9
"Sotkamo";2382;2382;41.4
"Sottunga";33;33;42.4
"Sulkava";938;938;45.7
"Sund";224;215;16.3
"Suomussalmi";2481;2477;37.1
"Suonenjoki";2041;2036;44.8
"Sysmä";1457;1453;42.9
"Säkylä";1839;1836;36.8
"Vaala";939;"Ei tietoja";"Ei tietoja"
"Sastamala";6299;6289;32.8
"Siikalatva";1495;1493;35.4
"Taipalsaari";943;941;56.1
"Taivalkoski";995;994;36.5
"Taivassalo";497;496;24.4
"Tammela";1443;1439;31.3
"Tampere";40436;40352;38
"Tervo";497;497;41.4
"Tervola";865;858;38.3
"Teuva";1577;1575;25.8
"Tohmajärvi";1243;1242;36.8
"Toholampi";784;784;31.4
"Toivakka";575;575;38.1
"Tornio";4178;4149;39.9
"Turku";36277;36139;38.8
"Pello";1196;1189;34.8
"Tuusniemi";795;791;44.4
"Tuusula";5681;5666;44.2
"Tyrnävä";759;755;24.8
"Ulvila";2941;2936;34
"Urjala";1400;1398;31.8
"Utajärvi";696;"Ei tietoja";"Ei tietoja"
"Utsjoki";283;282;39
"Uurainen";611;609;32.3
"Uusikaarlepyy";1695;1683;38
"Uusikaupunki";3897;3886;28.8
"Vaasa";12091;12050;32.9
"Valkeakoski";5050;5040;42.6
"Varkaus";5522;5516;44.1
"Vehmaa";622;620;32.3
"Vesanto";773;771;49.4
"Vesilahti";717;713;36.2
"Veteli";812;811;28
"Vieremä";875;873;44.3
"Vihti";4546;4536;37.3
"Viitasaari";1989;1980;39.2
"Vimpeli";745;745;36.8
"Virolahti";890;"Ei tietoja";"Ei tietoja"
"Virrat";2231;2229;34.1
"Vårdö";119;119;24.4
"Vöyri";1565;1557;27.6
"Ylitornio";1366;1359;41.1
"Ylivieska";2532;2525;36.4
"Ylöjärvi";5069;5064;36.5
"Ypäjä";564;562;35.9
"Ähtäri";1648;1645;37.3
"Äänekoski";4483;4479;32.2
"Evijärvi";646;645;40.6
"Brändö";121;119;37
"Vantaa";29561;29484;46.3
"Hanko";2379;2370;32.3
"Askola";806;803;40.7
"Eurajoki";1984;1983;30.9
"Hammarland";298;292;36
"Geta";112;112;20.5
"Hartola";954;952;39.4
"Helsinki";98915;98406;42.4
"Hirvensalmi";707;707;39.9
"Enonkoski";500;499;38.1
"Enontekiö";409;408;31.1
"Akaa";3377;3372;35.4
"Eura";2992;2988;34.9
"Hailuoto";329;329;15.5
"Eckerö";214;209;24.4
"Heinävesi";1173;1168;50
"Harjavalta";1975;1974;32.8
"Aura";640;639;37.6
"Hausjärvi";1468;1464;34.6
"Haapavesi";1366;1364;32
"Hollola";4813;4804;42.1
"Alajärvi";2344;2339;31
"Alavieska";547;547;33.1
"Finström";483;473;22
"Haapajärvi";1465;1461;43
"Hankasalmi";1407;1403;38.2
"Hattula";1800;1798;43
"Espoo";35403;35247;42
"Alavus";2868;2863;32.4
"Halsua";344;343;36.4
"Forssa";4673;4662;36.5
"Föglö";155;151;40.4
"Hamina";5377;5317;45.5
"Asikkala";2287;2282;41
