"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2663;2663;32.5
"Humppila";524;524;30.2
"Hyrynsalmi";787;787;34.9
"Hyvinkää";8966;8946;44.5
"Hämeenkyrö";2164;2162;28.9
"Hämeenlinna";15582;15545;49.2
"Heinola";5641;5624;43.5
"Ii";1754;"Ei tietoja";"Ei tietoja"
"Iisalmi";4843;4833;49.1
"Iitti";1807;1801;36.6
"Ikaalinen";1960;1956;35.3
"Ilmajoki";2277;2275;33.7
"Ilomantsi";1799;1796;9.7
"Inari";1483;1474;42.3
"Inkoo";1151;1144;31.4
"Isojoki";640;640;28.1
"Isokyrö";1154;1152;30.5
"Imatra";7355;7338;46.5
"Janakkala";3486;3480;41.6
"Joensuu";14475;14449;47.5
"Jokioinen";1135;1134;33.2
"Jomala";626;621;30.8
"Joroinen";1270;1268;41.2
"Joutsa";1549;1546;41.3
"Juuka";1554;1554;46.9
"Juupajoki";472;471;27.8
"Juva";1954;1951;48.4
"Jyväskylä";22391;22349;42.6
"Jämijärvi";491;491;38.3
"Jämsä";5793;5784;33.2
"Järvenpää";6512;6494;42.7
"Kaarina";6120;6102;43.5
"Kaavi";963;963;42.1
"Kajaani";7261;7246;39.5
"Kalajoki";2701;2692;30.1
"Kangasala";5567;5555;42.2
"Kangasniemi";1836;1832;45.6
"Kankaanpää";2980;2976;34.2
"Kannonkoski";444;441;34.7
"Kannus";1114;1111;34.1
"Karijoki";412;409;24
"Karkkila";1996;1994;38.8
"Karstula";1195;1193;42.3
"Karvia";730;730;29.2
"Kaskinen";411;409;35.9
"Kauhajoki";3125;3116;26.6
"Kauhava";4138;4131;27.6
"Kauniainen";2064;2047;45.5
"Kaustinen";862;862;28.4
"Keitele";697;696;44.8
"Kemi";4938;4883;43.7
"Keminmaa";1637;1633;36.9
"Kempele";2356;2350;40.6
"Kerava";5912;5898;43.4
"Keuruu";2936;2933;39.6
"Kihniö";544;544;36.4
"Kinnula";455;453;27.8
"Kirkkonummi";5180;5160;41.9
"Kitee";3160;3153;43.6
"Kittilä";1188;1184;38.6
"Kiuruvesi";2233;2230;47
"Kivijärvi";381;380;34.7
"Kokemäki";2009;2008;34.8
"Kokkola";9186;9173;30.9
"Kolari";907;898;35.2
"Konnevesi";832;831;27.6
"Kontiolahti";1947;1944;42.4
"Korsnäs";565;562;27.9
"Koski Tl";716;714;36.1
"Kotka";12920;12880;41
"Kouvola";20373;20324;47.4
"Kristiinankaupunki";2073;2058;25.8
"Kruunupyy";1521;1516;19.5
"Kuhmo";2585;2584;35.7
"Kuhmoinen";935;932;39.1
"Kumlinge";100;100;38
"Kuopio";21886;21842;52.8
"Kuortane";1051;1049;38.8
"Kurikka";5373;5366;27.5
"Kustavi";323;322;31.1
"Kuusamo";3482;3473;37.3
"Outokumpu";1873;1869;49.7
"Kyyjärvi";406;405;40.7
"Kärkölä";1006;1005;40
"Kärsämäki";627;626;29.7
"Kökar";79;78;20.5
"Kemijärvi";2540;2534;44.6
"Kemiönsaari";2071;2056;28.4
"Lahti";25586;25504;47.5
"Laihia";1602;1601;31.2
"Laitila";1885;1882;31.7
"Lapinlahti";2342;2336;39.6
"Lappajärvi";979;976;36.7
"Lappeenranta";15437;15397;52.7
"Lapinjärvi";697;693;30
"Lapua";3117;3113;33.7
"Laukaa";3198;3194;36.6
"Lemi";679;677;50.1
"Lemland";307;301;38.2
