,region,year,alcohol_sales,male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,health_cost
442,South Savo,2015,8.7,290.7,330.4,311.1,12670,40749,16920,11953,38952,21906,24623,79701,38826,141621,5961.7
443,South Savo,2016,8.7,293.9,335.4,315.3,12472,40015,17316,11746,38209,22188,24218,78224,39504,140422,6039.0
444,South Savo,2017,8.6,298.5,341.8,320.8,12148,39105,17767,11488,37289,22505,23636,76394,40272,138822,6159.6
445,South Savo,2018,8.7,302.2,348.2,325.7,11774,38043,18183,11176,36049,22665,22950,74092,40848,136474,6414.1
446,South Savo,2019,8.5,305.2,352.7,329.5,11411,37005,18541,10881,34952,22906,22292,71957,41447,134314,6656.2
447,South Savo,2020,9.0,307.9,357.9,333.4,11127,36196,18929,10565,34041,23166,21692,70237,42095,132702,6876.4
448,Southwest Finland,1993,6.8,249.7,224.9,236.6,50345,135203,24281,48386,134613,42926,98731,269816,67207,430409,2503.3
449,Southwest Finland,1994,6.7,254.5,231.2,242.2,50336,135778,24820,48332,135194,43493,98668,270972,68313,432603,2532.2
450,Southwest Finland,1995,6.7,260.2,238.0,248.5,50317,136578,25403,48373,136068,43901,98690,272646,69304,435119,2594.2
451,Southwest Finland,1996,6.8,264.5,244.3,253.9,50233,137339,25958,48191,136934,44198,98424,274273,70156,437491,2724.5
452,Southwest Finland,1997,6.9,269.1,251.0,259.6,50293,138141,26333,48024,137842,44522,98317,275983,70855,439973,2670.9
453,Southwest Finland,1998,6.9,273.1,256.9,264.6,50448,139307,26610,48082,139094,44760,98530,278401,71370,443050,2835.5
454,Southwest Finland,1999,7.1,277.3,262.6,269.6,50432,140275,26904,48189,140059,45034,98621,280334,71938,445542,2904.9
455,Southwest Finland,2000,7.1,280.8,268.6,274.4,50283,140887,27369,48024,140853,45167,98307,281740,72536,447103,2996.6
456,Southwest Finland,2001,7.4,284.5,274.4,279.2,50124,141710,27869,47756,141906,45494,97880,283616,73363,449293,3248.8
457,Southwest Finland,2002,7.6,288.8,280.1,284.2,49826,142228,28485,47330,142750,45689,97156,284978,74174,450969,3399.0
458,Southwest Finland,2003,7.6,292.9,286.8,289.7,49537,142401,29228,47054,143259,46148,96591,285660,75376,452444,3589.0
459,Southwest Finland,2004,8.2,297.0,293.3,295.1,49459,142442,30067,46793,143352,46676,96252,285794,76743,453745,3813.5
460,Southwest Finland,2005,8.2,300.8,299.6,300.2,49367,143042,30568,46706,143971,46898,96073,287013,77466,455584,4003.8
461,Southwest Finland,2006,8.4,305.0,306.7,305.9,49376,143218,31709,46846,144081,47949,96222,287299,79658,457789,4149.2
462,Southwest Finland,2007,8.7,308.8,313.5,311.2,49023,143900,32150,46801,144683,47951,95824,288583,80101,459235,4333.2
463,Southwest Finland,2008,8.6,313.8,322.4,318.2,49003,144305,33061,46763,145041,48426,95766,289346,81487,461177,4705.2
464,Southwest Finland,2009,8.4,317.3,328.3,323.0,48818,144544,34111,46623,145110,49207,95441,289654,83318,462914,4816.7
465,Southwest Finland,2010,8.1,321.0,334.1,327.8,48790,144433,35646,46579,144798,50517,95369,289231,86163,465183,4997.6
466,Southwest Finland,2011,8.2,324.3,340.1,332.5,48601,143767,37568,46354,144155,52260,94955,287922,89828,467217,5169.4
467,Southwest Finland,2012,7.7,327.5,346.2,337.2,48446,142947,39522,46131,143529,53939,94577,286476,93461,468936,5408.4
468,Southwest Finland,2013,7.6,332.3,353.0,343.1,48283,142464,41318,45841,142838,55552,94124,285302,96870,470880,5541.7
469,Southwest Finland,2014,7.4,336.2,358.6,347.8,48016,142139,42875,45681,142301,57010,93697,284440,99885,472726,5472.2
470,Southwest Finland,2015,7.2,338.2,363.5,351.3,47825,141756,44368,45458,141692,58437,93283,283448,102805,474323,5431.6
471,Southwest Finland,2016,7.1,341.2,369.6,355.9,47412,141743,45537,45155,141175,59566,92567,282918,105103,475543,5506.9
472,Southwest Finland,2017,7.1,345.9,376.6,361.8,47111,142251,46747,45066,140853,60868,92177,283104,107615,477677,5517.9
473,Southwest Finland,2018,7.1,352.9,386.0,370.0,46670,142290,47759,44571,140473,61890,91241,282763,109649,478582,5650.4
474,Southwest Finland,2019,7.0,356.4,391.6,374.6,46271,142062,48743,44055,140008,63072,90326,282070,111815,479341,5861.0
475,Southwest Finland,2020,7.1,359.4,397.5,379.0,46021,142396,49924,43750,139933,64195,89771,282329,114119,481403,5933.1
476,Uusimaa,1993,7.7,307.8,272.4,288.9,153908,413542,49631,146761,433821,95172,300669,847363,144803,1277609,2846.8
477,Uusimaa,1994,7.4,312.1,278.8,294.3,155910,418288,51204,149005,438275,96395,304915,856563,147599,1293573,2880.9
478,Uusimaa,1995,7.5,317.4,285.7,300.5,157614,423582,52824,150781,443613,97547,308395,867195,150371,1310680,2916.1
479,Uusimaa,1996,7.6,322.7,292.7,306.7,159311,428886,54316,152410,448896,98462,311721,877782,152778,1327243,3069.3
480,Uusimaa,1997,7.8,327.7,300.3,313.1,160739,435071,55748,154366,454968,99345,315105,890039,155093,1344989,2849.6
481,Uusimaa,1998,7.8,332.3,307.8,319.3,162003,441889,56991,155548,461257,99965,317551,903146,156956,1362634,2895.0
482,Uusimaa,1999,7.9,336.8,315.2,325.4,163093,448159,58337,157119,467442,100902,320212,915601,159239,1379712,2975.0
483,Uusimaa,2000,7.8,340.6,322.6,331.1,164049,453767,59819,157969,473041,101928,322018,926808,161747,1394199,3159.2
484,Uusimaa,2001,8.1,344.0,329.8,336.5,164262,459250,61406,158400,478598,102921,322662,937848,164327,1408525,3423.6
485,Uusimaa,2002,8.2,347.3,335.0,340.8,164810,462867,63111,158718,482298,104281,323528,945165,167392,1419938,3632.9
486,Uusimaa,2003,8.2,350.5,341.8,345.9,165179,465451,65339,159245,484566,105880,324424,950017,171219,1429869,3685.4
487,Uusimaa,2004,8.6,353.8,348.4,351.0,165745,467510,67670,159876,485770,108339,325621,953280,176009,1439400,3742.6
488,Uusimaa,2005,8.5,356.5,354.3,355.4,166352,471559,69692,160862,489378,110068,327214,960937,179760,1452083,3949.3
489,Uusimaa,2006,8.6,360.0,361.2,360.7,167537,474841,73496,161898,492601,114050,329435,967442,187546,1467453,4068.4
490,Uusimaa,2007,8.8,362.8,367.5,365.2,168231,481347,75270,162238,498285,115664,330469,979632,190934,1483719,4289.0
491,Uusimaa,2008,8.6,367.0,376.6,372.0,169199,487205,78449,163060,503105,118712,332259,990310,197161,1501511,4590.1
492,Uusimaa,2009,8.2,370.1,382.1,376.4,169725,491343,81872,163785,507105,122259,333510,998448,204131,1517712,4755.9
493,Uusimaa,2010,8.1,374.4,388.0,381.5,170486,493786,86698,164068,508742,127479,334554,1002528,214177,1532309,4836.5
494,Uusimaa,2011,8.1,377.2,393.6,385.7,170824,496478,92307,164193,510329,133666,335017,1006807,225973,1549058,5010.0
495,Uusimaa,2012,7.7,379.9,399.0,389.9,171397,500065,97658,164547,512298,139658,335944,1012363,237316,1566835,5233.3
496,Uusimaa,2013,7.4,384.7,405.8,395.7,172190,503520,102848,165186,514502,145578,337376,1018022,248426,1585473,5372.4
497,Uusimaa,2014,7.1,387.2,410.7,399.5,173099,506891,107495,166167,516635,150785,339266,1023526,258280,1603389,5350.9
498,Uusimaa,2015,6.8,388.1,414.4,401.8,174341,510365,111500,167229,518801,155496,341570,1029166,266996,1620261,5581.6
499,Uusimaa,2016,6.7,391.0,419.8,406.0,176139,515194,114945,167942,521485,159579,344081,1036679,274524,1638293,5445.6
500,Uusimaa,2017,6.7,395.9,426.6,411.9,177526,519853,118637,169180,523865,164148,346706,1043718,282785,1655624,5289.9
501,Uusimaa,2018,6.7,407.0,438.4,423.3,177892,524299,121930,169823,526400,168216,347715,1050699,290146,1671024,5405.4
502,Uusimaa,2019,6.5,409.5,443.5,427.1,178327,530600,125213,170390,530100,172629,348717,1060700,297842,1689725,5689.7
503,Uusimaa,2020,6.4,412.2,449.0,431.2,178719,534107,128223,170864,532135,176135,349583,1066242,304358,1702678,5882.3
504,Åland,1993,5.3,241.1,199.1,219.4,3016,7876,1632,2788,7625,2467,5804,15501,4099,25102,2247.5
505,Åland,1994,5.3,244.9,204.3,224.0,2990,7871,1655,2825,7629,2489,5815,15500,4144,25158,1951.8
506,Åland,1995,4.7,248.2,211.0,229.0,3008,7851,1653,2837,7657,2453,5845,15508,4106,25202,2027.7
507,Åland,1996,4.7,250.4,217.2,233.3,3052,7837,1656,2848,7697,2449,5900,15534,4105,25257,2171.4
508,Åland,1997,4.8,253.4,220.5,236.4,3051,7838,1694,2889,7724,2464,5940,15562,4158,25392,786.9
509,Åland,1998,4.8,255.7,225.7,240.2,3075,7973,1710,2910,7823,2467,5985,15796,4177,25625,0.0
510,Åland,1999,5.0,259.2,231.2,244.8,3062,8017,1720,2906,7829,2457,5968,15846,4177,25706,2535.0
511,Åland,2000,5.0,260.4,234.9,247.3,3069,8037,1757,2902,7853,2467,5971,15890,4224,25776,2769.5
512,Åland,2001,5.1,265.3,242.0,253.3,3054,8100,1783,2921,7942,2497,5975,16042,4280,26008,2931.7
513,Åland,2002,5.2,266.9,245.2,255.7,3085,8164,1824,2917,8037,2512,6002,16201,4336,26257,3105.3
514,Åland,2003,5.3,267.4,246.0,256.3,3076,8181,1857,2929,8097,2504,6005,16278,4361,26347,3242.2
515,Åland,2004,5.5,267.0,250.5,258.5,3114,8270,1884,2931,8115,2527,6045,16385,4411,26530,3365.4
516,Åland,2005,5.5,267.8,255.7,261.6,3106,8356,1946,2920,8201,2548,6026,16557,4494,26766,3527.4
517,Åland,2006,5.7,270.9,261.6,266.1,3131,8377,2017,2923,8289,2546,6054,16666,4563,26923,3647.2
518,Åland,2007,5.9,272.6,265.6,269.0,3120,8456,2079,2902,8348,2598,6022,16804,4677,27153,3742.2
519,Åland,2008,5.7,273.7,270.3,272.0,3129,8538,2169,2920,8453,2610,6049,16991,4779,27456,3994.7
520,Åland,2009,5.8,274.0,275.1,274.6,3123,8610,2252,2903,8514,2681,6026,17124,4933,27734,4055.9
521,Åland,2010,5.7,273.4,278.9,276.2,3107,8675,2358,2889,8549,2787,5996,17224,5145,28007,4172.4
522,Åland,2011,5.9,273.8,283.4,278.6,3099,8742,2472,2925,8586,2885,6024,17328,5357,28354,4274.4
523,Åland,2012,5.6,276.4,288.1,282.3,3090,8695,2579,2931,8584,2947,6021,17279,5526,28501,4492.4
524,Åland,2013,5.7,282.0,295.6,288.9,3127,8685,2680,2920,8607,3025,6047,17292,5705,28666,4418.4
525,Åland,2014,5.5,283.3,298.5,291.0,3134,8713,2776,2910,8596,3123,6044,17309,5899,28916,4449.3
526,Åland,2015,5.4,280.9,298.2,289.6,3104,8709,2828,2900,8568,3195,6004,17277,6023,28983,5000.4
527,Åland,2016,5.4,281.6,301.9,291.8,3147,8716,2892,2939,8594,3277,6086,17310,6169,29214,4740.8
528,Åland,2017,5.4,318.8,344.4,331.8,3156,8758,2984,2947,8562,3417,6103,17320,6401,29489,4759.4
529,Åland,2018,5.2,322.8,351.4,337.3,3212,8727,3105,2995,8540,3515,6207,17267,6620,29789,4957.4
530,Åland,2019,5.0,325.0,356.8,341.2,3201,8662,3181,3022,8526,3605,6223,17188,6786,29884,5133.2
531,Åland,2020,6.2,324.3,358.4,341.6,3201,8700,3240,3058,8543,3691,6259,17243,6931,30129,4976.1
